Date,Time,Open,High,Low,Close,Vol,OI
05/01/2007,16:00:00,38.92000,40.73000,38.83000,39.18000,121000,0
05/02/2007,16:00:00,38.86000,39.77000,38.82000,39.07000,109900,0
05/03/2007,16:00:00,39.39000,39.81000,39.10000,39.35000,171000,0
05/04/2007,16:00:00,39.46000,39.67000,39.27000,39.27000,250700,0
05/07/2007,16:00:00,39.49000,39.60000,39.42000,39.53000,131100,0
05/08/2007,16:00:00,38.86000,39.07000,38.73000,39.07000,118700,0
05/09/2007,16:00:00,38.74000,39.07000,38.68000,39.01000,93100,0
05/10/2007,16:00:00,38.70000,38.84000,38.21000,38.21000,137500,0
05/11/2007,16:00:00,38.28000,38.37000,37.63000,38.37000,148400,0
05/14/2007,16:00:00,38.97000,38.97000,37.98000,38.20000,153600,0
05/15/2007,16:00:00,37.76000,38.19000,37.67000,37.84000,129600,0
05/16/2007,16:00:00,38.27000,38.50000,38.14000,38.49000,154600,0
05/17/2007,16:00:00,38.39000,38.39000,37.91000,38.12000,148800,0
05/18/2007,16:00:00,38.33000,38.46000,38.23000,38.31000,115700,0
05/21/2007,16:00:00,38.44000,38.48000,38.22000,38.42000,115000,0
05/22/2007,16:00:00,38.32000,38.36000,38.17000,38.21000,66700,0
05/23/2007,16:00:00,38.17000,38.17000,37.17000,37.27000,122800,0
05/24/2007,16:00:00,36.98000,37.08000,36.35000,36.52000,274200,0
05/25/2007,16:00:00,37.36000,37.70000,37.32000,37.68000,159700,0
05/29/2007,16:00:00,36.47000,37.53000,36.47000,36.74000,152900,0
05/30/2007,16:00:00,36.44000,37.14000,36.17000,37.09000,130800,0
05/31/2007,16:00:00,37.42000,37.97000,37.31000,37.58000,209100,0
06/01/2007,16:00:00,38.01000,38.79000,38.01000,38.77000,346900,0
06/04/2007,16:00:00,38.60000,38.92000,38.47000,38.90000,112500,0
06/05/2007,16:00:00,38.87000,38.95000,38.57000,38.79000,199300,0
06/06/2007,16:00:00,38.47000,38.55000,38.11000,38.27000,133300,0
06/07/2007,16:00:00,38.14000,38.23000,37.48000,37.67000,169500,0
06/08/2007,16:00:00,37.86000,38.15000,37.67000,38.07000,81300,0
06/11/2007,16:00:00,38.05000,38.87000,37.97000,38.40000,237600,0
06/12/2007,16:00:00,38.10000,38.44000,37.75000,37.82000,84300,0
06/13/2007,16:00:00,38.03000,39.05000,38.03000,39.05000,188300,0
06/14/2007,16:00:00,39.39000,39.85000,39.39000,39.73000,186400,0
06/15/2007,16:00:00,40.02000,40.37000,40.00000,40.36000,257500,0
06/18/2007,16:00:00,40.47000,40.53000,40.30000,40.37000,93600,0
06/19/2007,16:00:00,40.17000,40.31000,39.97000,40.24000,75600,0
06/20/2007,16:00:00,40.44000,40.53000,39.73000,40.01000,108100,0
06/21/2007,16:00:00,40.07000,40.46000,39.81000,40.42000,118600,0
06/22/2007,16:00:00,40.17000,40.20000,39.56000,39.72000,82900,0
06/25/2007,16:00:00,39.87000,40.05000,39.34000,39.45000,96000,0
06/26/2007,16:00:00,39.74000,40.25000,39.74000,39.92000,77200,0
06/27/2007,16:00:00,39.77000,40.24000,39.58000,40.17000,70300,0
06/28/2007,16:00:00,40.07000,40.25000,39.91000,39.95000,111700,0
06/29/2007,16:00:00,39.96000,40.14000,39.59000,39.93000,93100,0
07/02/2007,16:00:00,39.79000,40.77000,39.79000,40.77000,93400,0
07/03/2007,16:00:00,41.37000,41.46000,41.19000,41.27000,62600,0
07/05/2007,16:00:00,41.39000,42.19000,41.12000,42.12000,113900,0
07/06/2007,16:00:00,42.30000,42.58000,42.15000,42.52000,122100,0
07/09/2007,16:00:00,42.97000,43.06000,42.85000,42.94000,141200,0
07/10/2007,16:00:00,43.17000,43.97000,41.89000,41.98000,134600,0
07/11/2007,16:00:00,42.43000,42.95000,42.42000,42.93000,139000,0
07/12/2007,16:00:00,44.02000,44.55000,43.84000,44.53000,285800,0
07/13/2007,16:00:00,44.41000,44.64000,44.18000,44.59000,132400,0
07/16/2007,16:00:00,45.04000,45.04000,43.95000,43.96000,112000,0
07/17/2007,16:00:00,43.88000,44.02000,43.70000,43.72000,166300,0
07/18/2007,16:00:00,43.47000,43.51000,43.12000,43.32000,94200,0
07/19/2007,16:00:00,44.12000,44.14000,43.87000,44.09000,74400,0
07/20/2007,16:00:00,44.17000,44.27000,43.51000,43.60000,89400,0
07/23/2007,16:00:00,43.76000,44.41000,43.66000,44.38000,135000,0
07/24/2007,16:00:00,44.12000,44.14000,42.82000,42.92000,270400,0
07/25/2007,16:00:00,43.52000,43.61000,42.86000,43.36000,296500,0
07/26/2007,16:00:00,41.79000,42.27000,40.60000,41.24000,349400,0
07/27/2007,16:00:00,41.18000,41.42000,40.52000,40.69000,173400,0
07/30/2007,16:00:00,41.47000,41.86000,41.18000,41.57000,89300,0
07/31/2007,16:00:00,42.32000,42.58000,41.52000,41.59000,156300,0
08/01/2007,16:00:00,41.29000,41.57000,40.74000,41.42000,140800,0
08/02/2007,16:00:00,41.87000,41.92000,41.47000,41.76000,35300,0
08/03/2007,16:00:00,41.90000,43.24000,40.69000,40.72000,112000,0
