Date,Time,Open,High,Low,Close,Vol,OI
10/26/2001,17:00:00,631.20000,631.20000,620.90000,622.40000,643,421
10/29/2001,17:00:00,622.00000,623.60000,617.20000,617.80000,582,560
10/30/2001,17:00:00,622.00000,622.00000,604.30000,609.80000,604,652
10/31/2001,17:00:00,611.10000,615.60000,605.10000,613.70000,981,743
11/01/2001,17:00:00,611.60000,618.70000,605.10000,618.30000,691,755
11/02/2001,17:00:00,619.60000,621.40000,616.80000,617.40000,472,816
11/05/2001,17:00:00,622.60000,624.50000,621.20000,622.70000,741,1046
11/06/2001,17:00:00,622.60000,624.50000,620.10000,623.10000,1036,2032
11/07/2001,17:00:00,620.10000,629.90000,620.10000,627.60000,561,2073
11/08/2001,17:00:00,629.60000,634.60000,626.80000,628.10000,924,2067
11/09/2001,17:00:00,623.40000,625.10000,620.40000,624.60000,405,2031
11/12/2001,17:00:00,616.60000,626.00000,616.40000,624.30000,184,2016
11/13/2001,17:00:00,616.60000,632.80000,616.40000,631.10000,344,2043
11/14/2001,17:00:00,629.80000,638.10000,629.50000,635.40000,913,2249
11/15/2001,17:00:00,637.90000,639.70000,633.80000,635.90000,588,2385
11/16/2001,17:00:00,638.10000,638.10000,634.10000,637.00000,703,2432
11/19/2001,17:00:00,639.10000,640.30000,638.10000,638.50000,684,2495
11/20/2001,17:00:00,639.10000,645.00000,638.10000,643.20000,1244,3045
11/21/2001,17:00:00,641.60000,645.00000,634.70000,635.10000,150,3036
11/23/2001,17:00:00,630.10000,645.00000,630.10000,645.00000,496,3191
11/26/2001,17:00:00,646.60000,646.60000,642.40000,645.50000,412,3233
11/27/2001,17:00:00,646.60000,649.00000,642.40000,647.30000,297,3497
11/28/2001,17:00:00,644.60000,649.00000,641.00000,641.00000,1045,3521
11/29/2001,17:00:00,643.80000,645.00000,637.90000,643.90000,342,3346
11/30/2001,17:00:00,648.30000,649.50000,644.40000,645.60000,715,3562
12/03/2001,17:00:00,641.60000,643.70000,640.10000,643.70000,491,3621
12/04/2001,17:00:00,641.60000,648.10000,639.70000,648.10000,588,3258
12/05/2001,17:00:00,644.10000,664.70000,642.60000,663.60000,401,3413
12/06/2001,17:00:00,656.60000,668.10000,655.60000,665.20000,194,3462
12/07/2001,17:00:00,666.40000,668.90000,665.10000,665.60000,316,3534
12/10/2001,17:00:00,664.60000,666.90000,660.50000,660.60000,517,3623
12/11/2001,17:00:00,664.60000,666.90000,657.70000,662.40000,592,3564
12/12/2001,17:00:00,662.60000,663.90000,655.10000,658.00000,312,3565
12/13/2001,17:00:00,660.60000,661.60000,656.10000,657.10000,85,70
12/14/2001,17:00:00,654.10000,657.70000,652.60000,657.70000,353,394
12/17/2001,17:00:00,659.10000,664.60000,657.60000,663.10000,1168,1046
12/18/2001,17:00:00,659.10000,671.50000,657.60000,668.40000,556,1417
12/19/2001,17:00:00,671.50000,671.50000,665.60000,668.70000,600,1365
12/20/2001,17:00:00,668.10000,671.10000,661.20000,662.60000,370,1527
12/21/2001,17:00:00,663.60000,671.30000,662.60000,669.40000,379,1642
12/24/2001,17:00:00,669.40000,672.10000,669.40000,670.90000,56,1676
12/26/2001,17:00:00,673.10000,677.10000,673.10000,675.60000,54,1612
12/27/2001,17:00:00,673.10000,679.10000,673.10000,677.70000,571,2048
12/28/2001,17:00:00,680.00000,681.60000,677.10000,678.60000,504,2202
12/31/2001,17:00:00,678.60000,680.00000,671.70000,673.90000,769,2166
01/02/2002,17:00:00,670.60000,670.60000,663.60000,666.60000,478,2220
01/03/2002,17:00:00,670.60000,680.10000,663.60000,675.80000,529,2271
01/04/2002,17:00:00,683.60000,687.30000,679.80000,685.60000,798,2613
01/07/2002,17:00:00,685.60000,686.10000,681.70000,683.10000,1390,2762
01/08/2002,17:00:00,685.60000,686.40000,676.60000,678.90000,1113,2794
01/09/2002,17:00:00,683.60000,688.70000,683.60000,686.60000,719,2818
01/10/2002,17:00:00,683.60000,688.70000,678.30000,680.10000,492,2950
01/11/2002,17:00:00,682.60000,682.70000,674.60000,676.60000,397,2934
01/14/2002,17:00:00,674.10000,674.10000,667.90000,669.10000,709,2969
01/15/2002,17:00:00,674.10000,674.10000,665.10000,666.50000,798,3158
01/16/2002,17:00:00,668.60000,671.10000,663.10000,666.30000,1443,3321
01/17/2002,17:00:00,666.10000,666.10000,659.90000,661.50000,778,3610
01/18/2002,17:00:00,662.70000,666.70000,658.40000,658.40000,924,3580
01/22/2002,17:00:00,662.20000,662.60000,656.00000,656.00000,843,3659
01/23/2002,17:00:00,662.20000,662.60000,652.10000,660.90000,923,3556
01/24/2002,17:00:00,655.60000,666.90000,652.10000,664.40000,612,3560
01/25/2002,17:00:00,662.10000,665.90000,660.70000,663.60000,516,3643
01/28/2002,17:00:00,664.10000,668.10000,662.50000,664.00000,701,3475
01/29/2002,17:00:00,664.10000,668.40000,657.00000,658.60000,1128,3486
01/30/2002,17:00:00,667.20000,668.40000,653.00000,661.10000,753,3477
01/31/2002,17:00:00,657.70000,667.30000,653.00000,665.60000,490,3597
02/01/2002,17:00:00,667.10000,669.70000,663.70000,665.40000,1126,3834
02/04/2002,17:00:00,663.60000,664.60000,656.90000,657.50000,878,4080
02/05/2002,17:00:00,663.60000,664.60000,649.80000,654.60000,838,4005
02/06/2002,17:00:00,653.60000,656.00000,645.80000,649.30000,738,4057
02/07/2002,17:00:00,654.60000,655.10000,638.70000,645.90000,1227,4029
02/08/2002,17:00:00,647.30000,652.40000,641.60000,652.40000,798,3722
02/11/2002,17:00:00,651.70000,656.20000,651.60000,656.20000,366,3608
02/12/2002,17:00:00,651.70000,657.80000,646.60000,657.60000,786,3640
02/13/2002,17:00:00,646.60000,661.80000,646.60000,659.60000,581,3640
02/14/2002,17:00:00,658.60000,663.00000,657.60000,657.90000,704,3629
02/15/2002,17:00:00,655.60000,657.10000,651.20000,653.10000,821,3514
02/19/2002,17:00:00,651.30000,651.60000,645.80000,646.00000,409,3543
02/20/2002,17:00:00,651.30000,651.30000,641.80000,646.60000,972,3536
02/21/2002,17:00:00,646.10000,652.70000,641.80000,650.10000,977,3597
02/22/2002,17:00:00,642.30000,650.60000,641.50000,649.40000,1066,3791
02/25/2002,17:00:00,651.50000,651.50000,648.50000,651.00000,886,3740
02/26/2002,17:00:00,651.50000,656.20000,648.50000,654.80000,722,3751
02/27/2002,17:00:00,654.00000,660.30000,650.60000,657.20000,907,3783
02/28/2002,17:00:00,656.10000,660.30000,654.10000,655.10000,1123,3782
03/01/2002,17:00:00,654.10000,663.50000,653.30000,663.20000,978,3763
03/04/2002,17:00:00,664.40000,672.50000,663.90000,672.10000,1178,3792
03/05/2002,17:00:00,664.40000,676.60000,663.90000,674.10000,1007,3789
03/06/2002,17:00:00,670.60000,677.20000,669.60000,676.90000,861,3826
03/07/2002,17:00:00,681.10000,685.00000,679.10000,680.00000,519,154
03/08/2002,17:00:00,686.60000,687.10000,682.20000,684.10000,1049,467
03/11/2002,17:00:00,684.60000,686.70000,681.20000,686.20000,1179,779
03/12/2002,17:00:00,684.60000,686.60000,678.60000,686.40000,724,803
03/13/2002,17:00:00,684.60000,686.60000,678.60000,681.30000,803,741
03/14/2002,17:00:00,682.60000,685.50000,679.30000,681.30000,619,832
03/15/2002,17:00:00,682.10000,686.80000,680.10000,684.00000,809,838
03/18/2002,17:00:00,686.60000,689.00000,684.20000,687.60000,828,939
03/19/2002,17:00:00,686.60000,691.90000,684.20000,688.70000,477,1066
03/20/2002,17:00:00,690.30000,691.90000,685.00000,686.10000,938,1112
03/21/2002,17:00:00,691.60000,691.60000,683.40000,686.10000,1192,1280
03/22/2002,17:00:00,688.40000,694.40000,686.60000,687.00000,1081,1285
03/25/2002,17:00:00,688.70000,688.80000,681.60000,683.50000,746,1251
03/26/2002,17:00:00,688.70000,688.80000,681.30000,684.10000,1125,1345
03/27/2002,17:00:00,682.60000,691.30000,681.10000,688.90000,1086,1504
03/28/2002,17:00:00,691.60000,696.10000,689.10000,692.10000,1072,1526
04/01/2002,17:00:00,688.00000,689.10000,683.20000,688.50000,1059,1321
04/02/2002,17:00:00,688.00000,692.50000,683.20000,688.60000,1735,1987
04/03/2002,17:00:00,684.60000,690.30000,683.40000,684.60000,2310,2947
04/04/2002,17:00:00,687.60000,687.70000,679.70000,682.80000,2382,3503
04/05/2002,17:00:00,683.10000,689.00000,682.00000,682.90000,1384,3747
04/08/2002,17:00:00,682.60000,688.50000,677.60000,688.20000,1562,4192
04/09/2002,17:00:00,682.60000,691.70000,677.60000,690.20000,1115,4150
04/10/2002,17:00:00,689.60000,695.60000,687.70000,694.70000,1657,3777
04/11/2002,17:00:00,689.10000,697.90000,689.10000,693.20000,1385,3725
04/12/2002,17:00:00,692.30000,701.80000,689.60000,701.10000,1676,4648
04/15/2002,17:00:00,702.60000,703.80000,695.60000,698.50000,1735,4089
04/16/2002,17:00:00,702.60000,706.80000,695.60000,706.70000,948,4151
04/17/2002,17:00:00,702.60000,710.80000,702.10000,705.10000,1807,4083
04/18/2002,17:00:00,709.60000,710.80000,698.50000,703.10000,1404,4136
04/19/2002,17:00:00,704.50000,706.10000,701.30000,702.40000,776,4208
04/22/2002,17:00:00,700.30000,700.30000,695.00000,697.10000,1446,4648
04/24/2002,17:00:00,698.20000,701.00000,691.20000,691.30000,2140,4662
04/25/2002,17:00:00,698.20000,701.00000,688.10000,693.80000,1794,4605
04/26/2002,17:00:00,695.70000,695.90000,684.70000,685.10000,1703,4804
04/29/2002,17:00:00,686.10000,688.70000,683.70000,684.60000,1743,4803
04/30/2002,17:00:00,686.10000,693.60000,685.40000,692.70000,1280,4758
05/01/2002,17:00:00,696.10000,698.10000,686.90000,698.10000,1854,4805
05/02/2002,17:00:00,698.50000,700.10000,695.10000,698.20000,1087,4784
05/03/2002,17:00:00,698.30000,699.40000,693.60000,696.10000,781,4846
05/06/2002,17:00:00,696.60000,698.80000,686.40000,686.40000,1152,4892
05/07/2002,17:00:00,690.00000,690.00000,683.90000,685.20000,2080,4854
05/08/2002,17:00:00,690.40000,692.70000,689.20000,690.00000,2135,5087
05/09/2002,17:00:00,694.10000,695.90000,685.30000,685.30000,1684,5183
05/10/2002,17:00:00,685.80000,687.80000,676.00000,676.00000,1813,5157
05/13/2002,17:00:00,678.60000,685.10000,676.60000,685.10000,2023,4708
05/14/2002,17:00:00,689.60000,699.10000,687.60000,699.10000,2712,5530
05/15/2002,17:00:00,694.50000,701.20000,692.80000,699.30000,2091,6155
05/16/2002,17:00:00,699.10000,699.10000,690.30000,691.30000,1777,29543
05/17/2002,17:00:00,692.10000,696.10000,690.20000,693.60000,1050,6864
05/20/2002,17:00:00,692.10000,693.10000,687.10000,688.00000,1686,6864
05/21/2002,17:00:00,688.20000,693.10000,678.80000,680.60000,1686,7216
05/22/2002,17:00:00,684.50000,684.50000,674.40000,676.40000,2905,8177
