Date,Time,Open,High,Low,Close,Vol,OI
01/03/1980,13:00:00,43.64000,44.11000,43.43000,43.66000,7413,34800
01/04/1980,13:00:00,43.54000,44.09000,43.54000,44.09000,4343,34520
01/07/1980,13:00:00,43.59000,43.80000,43.39000,43.67000,4785,34134
01/08/1980,13:00:00,43.69000,43.93000,43.64000,43.75000,3717,33347
01/09/1980,13:00:00,44.09000,44.39000,44.09000,44.31000,3029,33404
01/10/1980,13:00:00,44.09000,44.24000,43.75000,44.10000,4394,32943
01/11/1980,13:00:00,44.39000,44.99000,44.39000,44.97000,5235,32506
01/14/1980,13:00:00,45.37000,45.79000,45.21000,45.78000,5599,33660
01/15/1980,13:00:00,45.84000,46.04000,45.49000,45.64000,7987,32004
01/16/1980,13:00:00,45.67000,46.17000,45.67000,46.09000,6671,31174
01/17/1980,13:00:00,46.04000,46.70000,46.04000,46.63000,5685,29883
01/18/1980,13:00:00,47.14000,47.29000,46.57000,46.60000,6200,29118
01/21/1980,13:00:00,47.00000,47.19000,46.88000,47.17000,4550,29028
01/22/1980,13:00:00,46.79000,48.01000,46.69000,47.99000,13680,23172
01/23/1980,13:00:00,48.24000,48.77000,48.23000,48.59000,7386,22961
01/24/1980,13:00:00,48.54000,49.17000,48.49000,48.92000,7690,21416
01/25/1980,13:00:00,48.60000,48.89000,47.89000,48.02000,6059,21106
01/28/1980,13:00:00,46.69000,47.19000,46.24000,46.40000,7226,19462
01/29/1980,13:00:00,47.04000,48.59000,47.04000,48.53000,6392,19136
01/30/1980,13:00:00,49.54000,50.04000,49.14000,49.35000,8149,18822
01/31/1980,13:00:00,49.19000,50.34000,49.19000,50.30000,6746,18159
02/01/1980,13:00:00,50.04000,51.04000,49.94000,50.67000,6163,19253
02/04/1980,13:00:00,51.29000,51.78000,50.99000,51.46000,6187,19282
02/05/1980,13:00:00,49.99000,51.59000,49.79000,49.90000,7512,19001
02/06/1980,13:00:00,50.39000,50.89000,49.49000,50.20000,5431,18381
02/07/1980,13:00:00,50.27000,50.94000,50.04000,50.88000,2210,16779
02/08/1980,13:00:00,53.09000,54.29000,52.69000,53.08000,7100,15419
02/11/1980,13:00:00,54.79000,56.08000,52.79000,54.89000,8953,16514
02/13/1980,13:00:00,56.04000,57.74000,56.04000,57.68000,12420,15742
02/14/1980,13:00:00,56.49000,56.79000,54.74000,54.84000,14478,16867
02/15/1980,13:00:00,56.04000,56.04000,53.39000,53.73000,6687,16196
02/19/1980,13:00:00,50.79000,52.04000,49.79000,49.92000,6135,15355
02/20/1980,13:00:00,49.09000,51.99000,48.99000,51.61000,10237,13806
02/21/1980,13:00:00,52.54000,53.29000,52.09000,52.64000,5297,13535
02/22/1980,13:00:00,52.04000,52.29000,49.29000,49.39000,5653,10279
02/25/1980,13:00:00,48.91000,48.91000,48.91000,48.91000,1220,26524
02/26/1980,13:00:00,48.81000,49.91000,48.81000,49.81000,5325,26528
02/27/1980,13:00:00,50.61000,50.81000,48.81000,48.81000,6645,26929
02/28/1980,13:00:00,48.36000,49.71000,48.11000,48.99000,6742,26070
02/29/1980,13:00:00,49.51000,49.99000,49.51000,49.99000,4239,25927
03/03/1980,13:00:00,52.36000,52.61000,51.66000,52.10000,7820,25519
03/04/1980,13:00:00,51.86000,52.11000,50.51000,50.76000,4896,25139
03/05/1980,13:00:00,51.61000,51.91000,50.61000,50.93000,4703,24597
03/06/1980,13:00:00,49.91000,50.41000,49.11000,49.56000,5307,21925
03/07/1980,13:00:00,48.61000,49.01000,47.81000,47.85000,5745,23350
03/10/1980,13:00:00,46.86000,47.21000,43.91000,44.94000,16674,22847
03/11/1980,13:00:00,43.91000,47.06000,43.91000,47.00000,9945,22156
03/12/1980,13:00:00,46.81000,47.11000,45.11000,45.35000,8037,21742
03/13/1980,13:00:00,44.11000,44.91000,43.91000,43.93000,17053,21895
03/14/1980,13:00:00,44.36000,45.11000,43.91000,44.05000,9772,20484
03/17/1980,13:00:00,43.11000,43.61000,42.56000,43.12000,13068,19306
03/18/1980,13:00:00,43.76000,44.66000,43.36000,44.63000,4608,18940
03/19/1980,13:00:00,45.61000,45.86000,45.11000,45.38000,5452,18544
03/20/1980,13:00:00,45.66000,45.80000,44.86000,44.98000,4467,18302
03/21/1980,13:00:00,45.01000,46.31000,45.01000,46.27000,3872,19336
03/24/1980,13:00:00,45.91000,46.91000,45.01000,45.14000,5566,18177
03/25/1980,13:00:00,44.81000,45.61000,44.61000,44.70000,5070,18318
03/26/1980,13:00:00,44.96000,46.86000,44.96000,46.47000,7698,17739
03/27/1980,13:00:00,45.36000,45.76000,44.06000,44.65000,7726,17728
03/28/1980,13:00:00,44.61000,45.06000,43.96000,44.34000,5128,17524
03/31/1980,13:00:00,43.51000,44.89000,43.51000,44.81000,3318,17435
04/01/1980,13:00:00,45.01000,45.11000,44.11000,44.22000,2372,17108
04/02/1980,13:00:00,44.11000,45.06000,43.81000,45.00000,3719,16286
04/03/1980,13:00:00,44.81000,46.81000,44.81000,46.01000,3590,16204
04/07/1980,13:00:00,46.26000,46.91000,46.21000,46.63000,2885,15954
04/08/1980,13:00:00,46.61000,46.86000,45.31000,45.49000,3986,15442
04/09/1980,13:00:00,46.06000,46.41000,45.68000,46.01000,2809,15139
04/10/1980,13:00:00,46.12000,47.11000,46.12000,46.99000,2875,14844
04/11/1980,13:00:00,47.51000,48.01000,47.36000,47.97000,3284,13908
04/14/1980,13:00:00,47.66000,47.86000,46.86000,47.04000,3339,13796
04/15/1980,13:00:00,47.11000,48.46000,47.11000,48.38000,5543,12951
04/16/1980,13:00:00,48.11000,48.61000,47.61000,47.94000,3276,11261
04/17/1980,13:00:00,48.41000,48.96000,48.26000,48.92000,3747,10285
04/18/1980,13:00:00,48.71000,49.71000,48.71000,48.77000,4115,11426
04/21/1980,13:00:00,48.41000,48.51000,47.71000,47.77000,3574,9138
04/22/1980,13:00:00,48.26000,48.59000,47.81000,48.27000,3034,7130
04/23/1980,13:00:00,48.44000,48.64000,47.79000,47.87000,3995,20535
04/24/1980,13:00:00,47.99000,48.54000,47.29000,48.43000,6372,20470
04/25/1980,13:00:00,49.04000,49.14000,48.64000,48.77000,3975,20154
04/28/1980,13:00:00,48.69000,48.89000,48.04000,48.17000,5264,19738
04/29/1980,13:00:00,47.89000,49.17000,47.89000,49.17000,6013,20066
04/30/1980,13:00:00,49.17000,49.58000,48.49000,49.00000,8420,19886
05/01/1980,13:00:00,49.69000,50.57000,49.69000,50.54000,5066,18461
05/02/1980,13:00:00,50.39000,51.59000,50.39000,51.59000,5802,18862
05/05/1980,13:00:00,51.79000,52.39000,51.64000,52.15000,5355,17543
05/06/1980,13:00:00,52.40000,52.79000,51.84000,51.94000,6442,17118
05/07/1980,13:00:00,52.09000,53.99000,52.04000,53.92000,8407,18391
05/08/1980,13:00:00,55.19000,55.69000,54.49000,54.58000,7929,20815
05/09/1980,13:00:00,55.09000,56.44000,54.69000,56.42000,7933,21730
05/12/1980,13:00:00,57.99000,58.49000,57.79000,57.92000,8991,21921
05/13/1980,13:00:00,56.94000,58.04000,56.52000,57.16000,8048,21842
05/14/1980,13:00:00,58.19000,58.94000,58.19000,58.64000,7556,22394
05/15/1980,13:00:00,59.19000,59.44000,56.19000,57.79000,9348,21347
05/16/1980,13:00:00,56.49000,58.24000,56.49000,58.10000,6333,19707
05/19/1980,13:00:00,58.44000,59.04000,57.59000,57.92000,6517,19391
05/20/1980,13:00:00,56.59000,57.14000,54.89000,55.18000,11721,17241
05/21/1980,13:00:00,55.59000,56.44000,55.09000,55.85000,7876,15918
05/22/1980,13:00:00,57.34000,59.04000,57.24000,59.00000,9771,16078
05/23/1980,13:00:00,60.39000,60.84000,59.79000,60.77000,9462,16935
05/27/1980,13:00:00,59.69000,61.54000,59.49000,61.49000,7903,16862
05/28/1980,13:00:00,60.79000,60.99000,58.89000,59.05000,8526,14914
05/29/1980,13:00:00,58.19000,60.59000,58.19000,60.10000,7681,16397
05/30/1980,13:00:00,60.39000,60.84000,58.99000,59.36000,7241,14435
06/02/1980,13:00:00,58.94000,59.09000,57.69000,57.74000,5761,14504
06/03/1980,13:00:00,56.29000,56.79000,54.99000,55.29000,9140,14421
06/04/1980,13:00:00,55.94000,57.24000,55.94000,56.67000,7232,14047
06/05/1980,13:00:00,55.59000,55.79000,54.19000,54.21000,7964,13258
06/06/1980,13:00:00,53.69000,56.39000,53.69000,55.77000,5837,12505
06/09/1980,13:00:00,55.89000,56.09000,53.99000,54.25000,4882,11608
06/10/1980,13:00:00,53.19000,54.44000,52.94000,54.16000,4718,11614
06/11/1980,13:00:00,54.69000,56.44000,54.69000,56.36000,5172,10436
06/12/1980,13:00:00,56.99000,58.69000,56.69000,58.55000,6125,9748
06/13/1980,13:00:00,59.69000,59.89000,59.04000,59.28000,4493,9065
06/16/1980,13:00:00,57.69000,58.19000,56.79000,56.84000,3794,8834
06/17/1980,13:00:00,56.89000,58.19000,56.59000,56.87000,4385,8172
06/18/1980,13:00:00,57.79000,60.99000,56.79000,57.66000,3725,7861
06/19/1980,13:00:00,58.69000,59.09000,58.44000,58.83000,2977,7278
06/20/1980,13:00:00,58.39000,58.64000,57.79000,58.03000,2028,7052
06/23/1980,13:00:00,57.88000,58.68000,57.88000,58.20000,1175,8015
06/24/1980,13:00:00,57.53000,57.63000,56.83000,57.26000,1590,8066
06/25/1980,13:00:00,57.98000,58.13000,57.43000,57.48000,1338,8498
06/26/1980,13:00:00,57.48000,57.58000,56.48000,56.48000,1891,8188
06/27/1980,13:00:00,55.53000,57.48000,55.53000,57.46000,2685,8569
06/30/1980,13:00:00,57.43000,57.88000,56.58000,57.36000,2359,8649
07/01/1980,13:00:00,57.28000,57.58000,56.63000,56.68000,2016,8972
07/02/1980,13:00:00,56.28000,56.53000,54.78000,54.81000,3302,8998
07/03/1980,13:00:00,54.33000,54.68000,53.68000,53.74000,3119,9178
07/07/1980,13:00:00,52.61000,53.03000,52.08000,52.53000,6721,9364
07/08/1980,13:00:00,52.93000,54.43000,50.63000,50.73000,9619,9224
07/09/1980,13:00:00,49.23000,50.78000,49.18000,50.74000,12142,9192
07/10/1980,13:00:00,51.43000,52.13000,48.43000,49.28000,6445,8917
07/11/1980,13:00:00,47.93000,49.38000,47.93000,48.72000,4359,8601
07/14/1980,13:00:00,50.18000,51.78000,50.18000,51.71000,3495,8483
07/15/1980,13:00:00,51.53000,51.68000,49.78000,51.00000,4663,7876
