Date,Time,Open,High,Low,Close,Vol,OI
05/15/2001,17:00:00,1.00305,1.00365,1.00305,1.00345,1037,54515
05/16/2001,17:00:00,1.00675,1.00885,1.00615,1.00645,3632,52097
05/17/2001,17:00:00,1.00495,1.00925,1.00495,1.00505,3010,51284
05/18/2001,17:00:00,1.00545,1.00545,1.00095,1.00335,1364,51284
05/21/2001,17:00:00,1.00385,1.00465,1.00035,1.00225,1089,52061
05/22/2001,17:00:00,1.00445,1.00445,0.99465,0.99565,2554,56932
05/23/2001,17:00:00,0.99565,0.99635,0.99095,0.99205,2065,57185
05/24/2001,17:00:00,0.99175,0.99235,0.99175,0.99205,1106,57101
05/28/2001,17:00:00,0.99255,0.99475,0.98985,0.99235,127,56975
05/29/2001,17:00:00,0.99365,0.99385,0.98905,0.99115,823,56692
05/30/2001,17:00:00,0.99235,0.99245,0.99185,0.99215,1181,56164
05/31/2001,17:00:00,0.99185,0.99185,0.98505,0.98675,1458,57895
06/04/2001,17:00:00,0.98725,0.99105,0.98595,0.98725,680,56657
06/05/2001,17:00:00,0.98685,0.99345,0.98625,0.99245,1768,54464
06/06/2001,17:00:00,0.99285,0.99415,0.98555,0.98805,1347,55094
06/07/2001,17:00:00,0.98715,0.98865,0.98405,0.98785,1593,54962
06/08/2001,17:00:00,0.98915,0.98915,0.98535,0.98795,892,46620
06/11/2001,17:00:00,0.98715,0.98975,0.98315,0.98485,1586,43850
06/12/2001,17:00:00,0.98455,0.98915,0.98385,0.98915,1053,38816
06/13/2001,17:00:00,0.98745,0.98895,0.97755,0.97755,530,35939
06/14/2001,17:00:00,0.98645,0.99395,0.98495,0.99385,760,33578
06/15/2001,17:00:00,0.99295,0.99595,0.99025,0.99025,121,29440
06/18/2001,17:00:00,0.98945,0.98945,0.98945,0.98945,10,29079
06/19/2001,17:00:00,0.98945,0.98945,0.98945,0.98945,0,44799
06/22/2001,17:00:00,0.99125,0.99275,0.98885,0.99165,756,43925
06/25/2001,17:00:00,0.99155,0.99595,0.99155,0.99395,683,44102
06/26/2001,17:00:00,0.99425,0.99715,0.99305,0.99495,1689,45059
06/27/2001,17:00:00,0.99515,0.99795,0.99195,0.99445,1046,44962
06/28/2001,17:00:00,0.99415,0.99525,0.98345,0.98405,2837,57817
06/29/2001,17:00:00,0.98355,0.98625,0.98355,0.98595,547,58024
07/02/2001,17:00:00,0.98605,0.98675,0.98335,0.98535,919,60081
07/03/2001,17:00:00,0.98575,0.98655,0.98425,0.98505,1947,58901
07/05/2001,17:00:00,0.98555,0.98575,0.97805,0.97835,1810,62592
07/06/2001,17:00:00,0.97835,0.98655,0.97715,0.98605,2178,60824
07/09/2001,17:00:00,0.98595,0.98765,0.98415,0.98645,965,60660
07/10/2001,17:00:00,0.98645,0.99125,0.98565,0.99015,2371,56894
07/11/2001,17:00:00,0.99105,0.99885,0.98995,0.99505,2343,51127
07/12/2001,17:00:00,0.99455,0.99455,0.99045,0.99315,1963,50287
07/13/2001,17:00:00,0.99325,0.99485,0.99105,0.99285,831,49338
07/16/2001,17:00:00,0.99325,0.99605,0.99255,0.99295,1005,49316
07/17/2001,17:00:00,0.99245,0.99925,0.99055,0.99805,1855,48891
07/18/2001,17:00:00,0.99885,1.00955,0.99745,1.00955,2602,46927
07/19/2001,17:00:00,1.00975,1.01135,1.00545,1.00695,2366,49387
07/20/2001,17:00:00,1.00775,1.01115,1.00625,1.00765,2164,51568
07/23/2001,17:00:00,1.00695,1.00745,1.00335,1.00495,1146,51523
07/24/2001,17:00:00,1.00555,1.01065,1.00555,1.00935,1417,51762
07/25/2001,17:00:00,1.00895,1.01305,1.00715,1.01175,1718,53284
07/26/2001,17:00:00,1.01155,1.01285,1.00765,1.00945,1372,52466
07/27/2001,17:00:00,1.00955,1.01245,1.00595,1.00885,971,51605
07/30/2001,17:00:00,1.00905,1.00985,1.00555,1.00715,472,51187
07/31/2001,17:00:00,1.00695,1.00915,1.00535,1.00735,1096,50503
08/01/2001,17:00:00,1.00765,1.01315,1.00765,1.01195,1363,52559
08/02/2001,17:00:00,1.01165,1.01465,1.01045,1.01335,860,52000
08/03/2001,17:00:00,1.01295,1.01645,1.01095,1.01405,12047,53920
08/06/2001,17:00:00,1.01405,1.01415,1.01115,1.01305,7009,54111
08/07/2001,17:00:00,1.01305,1.01305,1.00905,1.01025,8994,54521
08/08/2001,17:00:00,1.01035,1.01365,1.00875,1.01325,7466,54363
08/09/2001,17:00:00,1.01315,1.02195,1.01315,1.02025,18315,59773
08/10/2001,17:00:00,1.02105,1.02145,1.01835,1.01865,7087,58261
08/13/2001,17:00:00,1.01915,1.02255,1.01795,1.01995,7634,58565
08/14/2001,17:00:00,1.01955,1.02385,1.01815,1.02365,8680,59722
08/15/2001,17:00:00,1.02425,1.03055,1.02355,1.03035,11121,61508
08/16/2001,17:00:00,1.03005,1.03295,1.02725,1.02845,10901,61438
08/17/2001,17:00:00,1.02795,1.03205,1.02775,1.03185,6431,62479
08/20/2001,17:00:00,1.03145,1.03365,1.02885,1.03005,6475,62073
08/21/2001,17:00:00,1.02995,1.03295,1.02745,1.03265,6204,62669
08/22/2001,17:00:00,1.03285,1.03585,1.02875,1.02925,10657,62483
08/23/2001,17:00:00,1.02865,1.03115,1.02495,1.03005,7370,63132
08/24/2001,17:00:00,1.03005,1.03205,1.02505,1.02845,12794,63864
08/27/2001,17:00:00,1.02805,1.02895,1.02575,1.02775,3862,63285
08/28/2001,17:00:00,1.02845,1.02975,1.02335,1.02915,2610,63285
08/29/2001,17:00:00,1.02875,1.03085,1.02645,1.02765,8407,62777
08/30/2001,17:00:00,1.02605,1.03425,1.02575,1.03265,14853,67476
08/31/2001,17:00:00,1.03245,1.03485,1.02575,1.02805,17806,64312
