Date,Time,Open,High,Low,Close,Vol,OI
05/15/2001,17:00:00,15.47500,15.48000,15.44000,15.44000,35,49893
05/16/2001,17:00:00,15.45000,15.58300,15.45000,15.58300,145,47536
05/17/2001,17:00:00,15.58000,15.61500,15.54000,15.61500,451,47742
05/18/2001,17:00:00,15.61000,15.69700,15.57000,15.69700,194,49195
05/21/2001,17:00:00,15.70500,15.76000,15.67000,15.67000,503,48950
05/22/2001,17:00:00,15.67000,15.67500,15.65000,15.65000,154,48096
05/23/2001,17:00:00,15.69500,15.70000,15.65000,15.70000,197,48275
05/24/2001,17:00:00,15.70000,15.81000,15.67500,15.80000,681,47589
05/28/2001,17:00:00,15.73000,15.74000,15.70300,15.70300,142,47829
05/29/2001,17:00:00,15.69500,15.69500,15.65000,15.66000,123,47710
05/30/2001,17:00:00,15.67000,15.67000,15.56500,15.56500,127,46013
05/31/2001,17:00:00,15.57500,15.57500,15.53000,15.53000,78,45632
06/01/2001,17:00:00,15.53000,15.54500,15.53000,15.54300,122,45835
06/04/2001,17:00:00,15.54000,15.56500,15.45500,15.45500,102,44132
06/05/2001,17:00:00,15.45500,15.49000,15.45000,15.46300,581,43107
06/06/2001,17:00:00,15.47000,15.49500,15.46000,15.46000,73,41662
06/07/2001,17:00:00,15.47000,15.47000,15.44500,15.45500,245,42007
06/08/2001,17:00:00,15.46000,15.49000,15.45500,15.49000,132,42007
06/11/2001,17:00:00,15.49000,15.50000,15.45800,15.45800,56,42651
06/12/2001,17:00:00,15.45500,15.49500,15.45000,15.49500,47,42682
06/13/2001,17:00:00,15.49500,15.53500,15.48000,15.53500,263,42029
06/14/2001,17:00:00,15.54000,15.59000,15.51500,15.59000,191,40964
06/15/2001,17:00:00,15.58500,15.59000,15.52000,15.52000,145,39859
06/18/2001,17:00:00,15.51500,15.54200,15.49000,15.54200,95,38030
06/19/2001,17:00:00,15.54000,15.55000,15.52000,15.52000,87,37486
06/20/2001,17:00:00,15.52500,15.53000,15.46500,15.46500,57,36820
06/21/2001,17:00:00,15.46500,15.48000,15.44300,15.44300,142,35884
06/22/2001,17:00:00,15.44000,15.45500,15.42300,15.42300,63,34849
06/25/2001,17:00:00,15.43300,15.43800,15.41800,15.41800,24,21615
