Date,Time,Open,High,Low,Close,Vol,OI
05/11/2000,16:00:00,36.94000,38.83000,36.04000,38.77000,467709,0
05/12/2000,16:00:00,39.64000,40.81000,38.95000,39.25000,514709,0
05/15/2000,16:00:00,39.04000,40.00000,37.63000,40.00000,556093,0
05/16/2000,16:00:00,41.44000,42.23000,40.15000,41.75000,458559,0
05/17/2000,16:00:00,41.20000,42.47000,40.81000,41.38000,490793,0
05/18/2000,16:00:00,41.69000,41.84000,40.57000,40.66000,253299,0
05/19/2000,16:00:00,39.94000,40.30000,38.05000,38.50000,218569,0
05/22/2000,16:00:00,38.50000,38.53000,35.86000,38.20000,517828,0
05/23/2000,16:00:00,37.96000,38.80000,35.25000,35.31000,178640,0
05/24/2000,16:00:00,35.43000,37.69000,33.60000,37.60000,641150,0
05/25/2000,16:00:00,38.50000,39.61000,36.94000,37.51000,404072,0
05/26/2000,16:00:00,37.42000,38.08000,36.58000,37.24000,183423,0
05/30/2000,16:00:00,38.56000,41.11000,38.56000,41.08000,190702,0
05/31/2000,16:00:00,41.75000,42.41000,40.96000,41.11000,286157,0
06/01/2000,16:00:00,42.53000,43.88000,42.05000,43.73000,457935,0
06/02/2000,16:00:00,47.52000,47.52000,46.01000,47.00000,976387,0
06/05/2000,16:00:00,46.13000,47.58000,45.56000,46.70000,308617,0
06/06/2000,16:00:00,46.61000,47.46000,44.75000,44.75000,463342,0
06/07/2000,16:00:00,45.29000,45.89000,44.06000,45.50000,448160,0
06/08/2000,16:00:00,46.76000,46.79000,45.32000,45.71000,405944,0
06/09/2000,16:00:00,46.49000,46.85000,45.92000,46.67000,202764,0
06/12/2000,16:00:00,46.97000,46.97000,44.75000,44.84000,116875,0
06/13/2000,16:00:00,44.93000,46.76000,44.12000,46.76000,402409,0
06/14/2000,16:00:00,46.76000,46.79000,44.72000,44.72000,202764,0
06/15/2000,16:00:00,44.81000,45.74000,44.09000,45.11000,226472,0
06/16/2000,16:00:00,45.17000,45.86000,44.72000,45.41000,180720,0
06/19/2000,16:00:00,45.59000,48.54000,45.23000,48.54000,453775,0
06/20/2000,16:00:00,49.02000,50.10000,48.78000,49.26000,516788,0
06/21/2000,16:00:00,48.60000,49.83000,48.54000,49.47000,386395,0
06/22/2000,16:00:00,49.02000,49.02000,46.85000,46.97000,813968,0
06/23/2000,16:00:00,47.03000,47.43000,46.01000,46.13000,713106,0
06/26/2000,16:00:00,46.55000,47.03000,45.59000,46.13000,320263,0
06/27/2000,16:00:00,46.49000,46.58000,44.63000,44.63000,491001,0
06/28/2000,16:00:00,44.75000,45.95000,44.75000,44.87000,475196,0
06/29/2000,16:00:00,44.33000,44.63000,43.13000,43.82000,586040,0
06/30/2000,16:00:00,43.97000,44.84000,43.64000,44.45000,952472,0
07/03/2000,16:00:00,44.39000,45.53000,44.33000,45.47000,109388,0
07/05/2000,16:00:00,42.77000,43.28000,41.63000,41.87000,2832876,0
07/06/2000,16:00:00,42.50000,43.85000,41.63000,43.61000,2897761,0
07/07/2000,16:00:00,44.57000,45.77000,44.36000,45.05000,374126,0
07/10/2000,16:00:00,45.17000,45.74000,44.69000,44.99000,194653,0
07/11/2000,16:00:00,44.93000,45.95000,43.76000,44.27000,464174,0
07/12/2000,16:00:00,45.35000,45.98000,44.66000,45.38000,238325,0
07/13/2000,16:00:00,46.37000,47.31000,46.07000,46.55000,299675,0
07/14/2000,16:00:00,47.46000,48.00000,46.73000,48.00000,283661,0
07/17/2000,16:00:00,48.00000,48.84000,47.34000,48.75000,344179,0
07/18/2000,16:00:00,47.82000,47.97000,46.37000,46.58000,452112,0
07/19/2000,16:00:00,46.52000,46.52000,44.33000,44.90000,774663,0
07/20/2000,16:00:00,45.14000,46.04000,43.82000,44.18000,566076,0
07/21/2000,16:00:00,43.52000,43.73000,41.93000,42.35000,1301226,0
07/24/2000,16:00:00,42.05000,43.85000,41.81000,42.29000,2546510,0
07/25/2000,16:00:00,43.79000,43.91000,42.68000,43.73000,388267,0
07/26/2000,16:00:00,42.17000,42.59000,40.87000,41.93000,1041480,0
07/27/2000,16:00:00,39.28000,39.64000,38.71000,38.95000,375165,0
07/28/2000,16:00:00,39.58000,40.12000,37.84000,38.50000,2812080,0
07/31/2000,16:00:00,39.07000,40.30000,38.17000,39.94000,446705,0
08/01/2000,16:00:00,39.82000,39.82000,38.38000,38.59000,1365903,0
