Date,Time,Open,High,Low,Close,Vol,OI
11/26/2002,14:20:00,-558.75000,-555.25000,-559.50000,-558.00000,23300,86071
11/27/2002,14:20:00,-558.00000,-550.00000,-558.00000,-553.75000,30979,86071
11/29/2002,14:20:00,-553.00000,-549.50000,-553.75000,-552.25000,19247,88071
12/02/2002,14:20:00,-551.50000,-543.50000,-553.00000,-552.50000,49450,90196
12/03/2002,14:20:00,-553.00000,-553.00000,-567.00000,-566.50000,52719,81968
12/04/2002,14:20:00,-567.00000,-563.00000,-570.50000,-564.75000,34937,80350
12/05/2002,14:20:00,-564.00000,-562.50000,-574.50000,-569.00000,49702,77767
12/06/2002,14:20:00,-566.50000,-563.50000,-570.25000,-567.75000,29727,73584
12/09/2002,14:20:00,-571.00000,-568.00000,-573.25000,-569.00000,24695,71257
12/10/2002,14:20:00,-569.00000,-566.50000,-573.50000,-567.00000,32238,68696
12/11/2002,14:20:00,-567.00000,-562.50000,-567.50000,-563.00000,32108,68696
12/12/2002,14:20:00,-563.00000,-554.00000,-567.00000,-555.00000,43155,67248
12/13/2002,14:20:00,-556.00000,-554.00000,-560.00000,-559.00000,26212,66521
12/16/2002,14:20:00,-559.50000,-558.00000,-570.00000,-569.50000,36010,62084
12/17/2002,14:20:00,-571.25000,-569.00000,-575.50000,-575.00000,43655,59402
12/18/2002,14:20:00,-575.00000,-570.00000,-578.75000,-570.75000,43092,59402
12/19/2002,14:20:00,-570.50000,-565.00000,-570.75000,-567.25000,21029,45114
12/20/2002,14:20:00,-566.25000,-558.00000,-566.75000,-559.00000,22045,40307
12/23/2002,14:20:00,-559.00000,-553.25000,-560.00000,-558.25000,33789,73861
12/26/2002,14:20:00,-559.50000,-559.50000,-565.75000,-565.25000,20350,76920
12/27/2002,14:20:00,-565.00000,-559.50000,-566.00000,-561.00000,20132,79532
12/30/2002,14:20:00,-561.50000,-560.75000,-566.50000,-565.25000,29561,82382
12/31/2002,14:20:00,-565.75000,-562.00000,-568.00000,-562.50000,19367,82178
01/02/2003,14:20:00,-562.50000,-545.00000,-563.00000,-546.50000,47232,90771
01/03/2003,14:20:00,-548.50000,-548.25000,-552.00000,-549.75000,48036,90771
01/06/2003,14:20:00,-551.50000,-542.50000,-552.00000,-550.50000,47490,97186
01/07/2003,14:20:00,-551.50000,-545.25000,-554.00000,-547.75000,39169,98157
01/08/2003,14:20:00,-548.00000,-542.50000,-548.00000,-545.50000,39190,100167
01/09/2003,14:20:00,-545.50000,-543.50000,-550.00000,-547.75000,33330,98766
01/10/2003,14:20:00,-548.00000,-541.00000,-572.50000,-570.75000,78406,90303
01/13/2003,14:20:00,-570.25000,-569.50000,-581.50000,-579.50000,57826,85109
01/14/2003,14:20:00,-578.50000,-575.75000,-583.50000,-577.50000,44308,82124
01/15/2003,14:20:00,-577.25000,-573.75000,-582.50000,-577.75000,31565,81226
01/16/2003,14:20:00,-578.00000,-573.00000,-582.75000,-578.50000,44965,78636
01/17/2003,14:20:00,-577.50000,-570.75000,-578.75000,-571.50000,29641,77592
01/21/2003,14:20:00,-572.00000,-569.75000,-575.00000,-571.50000,27995,75955
01/22/2003,14:20:00,-572.00000,-563.00000,-572.50000,-567.50000,40331,74537
01/23/2003,14:20:00,-567.50000,-563.00000,-568.75000,-566.00000,24705,74095
01/24/2003,14:20:00,-566.00000,-557.50000,-567.00000,-558.50000,35496,73248
01/27/2003,14:20:00,-558.00000,-552.00000,-561.50000,-560.25000,36289,72704
01/28/2003,14:20:00,-560.50000,-553.50000,-560.50000,-554.25000,30273,71662
01/29/2003,14:20:00,-554.50000,-554.25000,-567.00000,-566.25000,30530,71662
01/30/2003,14:20:00,-566.00000,-558.50000,-568.00000,-559.00000,31779,70302
01/31/2003,14:20:00,-559.50000,-556.50000,-565.50000,-563.50000,30576,70253
02/03/2003,14:20:00,-565.50000,-559.00000,-571.00000,-559.50000,38071,69914
02/04/2003,14:20:00,-559.50000,-556.50000,-563.00000,-557.00000,28286,67413
