Date,Time,Open,High,Low,Close,Vol,OI
06/05/2001,17:00:00,88.25391,88.43359,88.25391,88.42578,132,0
06/06/2001,17:00:00,88.39453,88.43359,88.39453,88.43359,368,0
06/07/2001,17:00:00,88.43359,88.43359,88.43359,88.43359,0,0
06/08/2001,17:00:00,88.41016,88.41016,88.31641,88.31641,81,0
06/11/2001,17:00:00,88.43359,88.43359,88.43359,88.43359,0,0
06/12/2001,17:00:00,88.41016,88.49609,88.41016,88.49609,195,0
06/13/2001,17:00:00,88.52734,88.52734,88.48828,88.52734,57,0
06/14/2001,17:00:00,88.51953,88.63672,88.51953,88.63672,1,0
06/15/2001,17:00:00,88.63672,88.68359,88.59766,88.68359,126,0
06/18/2001,17:00:00,88.75391,88.75391,88.70703,88.73828,288,0
06/19/2001,17:00:00,88.73828,88.79297,88.73828,88.79297,92,0
06/20/2001,17:00:00,88.80078,88.84766,88.80078,88.83203,540,0
06/21/2001,17:00:00,88.83984,88.83984,88.83984,88.83984,0,0
06/22/2001,17:00:00,88.98047,88.98047,88.98047,88.98047,0,0
06/25/2001,17:00:00,88.94922,88.94922,88.93359,88.93359,31,0
06/26/2001,17:00:00,88.91016,88.98828,88.79297,88.79297,31,0
06/27/2001,17:00:00,88.64453,88.64453,88.60547,88.60547,1,0
06/28/2001,17:00:00,88.55078,88.67578,88.30859,88.30859,175,0
06/29/2001,17:00:00,88.26953,88.28516,88.24609,88.28516,442,0
07/02/2001,17:00:00,88.33984,88.44922,88.30859,88.44922,3,0
07/03/2001,17:00:00,88.51172,88.51172,88.33203,88.33203,101,0
07/05/2001,17:00:00,88.39453,88.39453,88.30859,88.30859,100,0
07/06/2001,17:00:00,88.43359,88.48828,88.43359,88.48828,12,0
07/09/2001,17:00:00,88.55078,88.55078,88.50391,88.50391,23,0
07/10/2001,17:00:00,88.50391,88.65234,88.50391,88.65234,15,0
07/11/2001,17:00:00,88.61328,88.66016,88.61328,88.65234,62,0
07/12/2001,17:00:00,88.51953,88.68359,88.50391,88.68359,2423,0
07/13/2001,17:00:00,88.68359,88.69922,88.61328,88.63672,207,0
07/16/2001,17:00:00,88.65234,88.70703,88.65234,88.70703,5,0
07/17/2001,17:00:00,88.67578,88.70703,88.64453,88.67578,215,0
07/18/2001,17:00:00,88.67578,89.01172,88.67578,89.01172,39,0
07/19/2001,17:00:00,88.87891,88.94922,88.87891,88.94922,275,0
07/20/2001,17:00:00,88.95703,88.97266,88.94141,88.94141,4,0
07/23/2001,17:00:00,88.94922,88.94922,88.94141,88.94141,3,0
07/24/2001,17:00:00,88.98047,89.01172,88.96484,89.01172,53,0
07/25/2001,17:00:00,88.94922,88.99609,88.89453,88.94922,7,0
07/26/2001,17:00:00,88.86328,89.07422,88.86328,89.07422,5,0
07/27/2001,17:00:00,88.89453,89.17578,88.89453,89.17578,191,0
07/30/2001,17:00:00,89.17578,89.23047,89.17578,89.23047,82,0
07/31/2001,17:00:00,89.24609,89.32422,89.20703,89.32422,63,0
08/01/2001,17:00:00,89.23828,89.26953,89.23047,89.25391,431,0
