Date,Time,Open,High,Low,Close,Vol,OI
05/15/2001,17:00:00,45.01563,45.09375,44.37500,44.48438,64055,0
05/16/2001,17:00:00,44.46875,45.01563,44.46875,44.81250,62967,0
05/17/2001,17:00:00,44.79688,45.10938,44.28125,45.09375,86451,0
05/18/2001,17:00:00,45.06250,45.28125,44.82813,45.00000,61458,0
05/21/2001,17:00:00,44.87500,45.17188,44.71875,45.09375,42729,0
05/22/2001,17:00:00,45.12500,45.28125,45.00000,45.04688,53559,0
05/23/2001,17:00:00,45.90625,46.15625,45.79688,46.06250,71369,0
05/24/2001,17:00:00,46.03125,46.26563,45.21875,45.35938,68767,0
05/28/2001,17:00:00,45.53125,45.67188,45.23438,45.39063,50016,0
05/29/2001,17:00:00,45.45313,45.62500,45.15625,45.29688,59742,0
05/30/2001,17:00:00,44.39063,44.60938,44.39063,44.45313,56362,0
05/31/2001,17:00:00,44.54688,45.40625,44.48438,45.25000,77101,0
06/01/2001,17:00:00,45.26563,45.84375,45.01563,45.46875,86107,0
06/04/2001,17:00:00,45.53125,45.79688,45.48438,45.78125,41477,0
06/05/2001,17:00:00,45.71875,46.28125,45.59375,46.25000,93495,0
06/06/2001,17:00:00,46.12500,46.32813,45.93750,46.25000,61966,0
06/07/2001,17:00:00,46.23438,46.48438,45.81250,45.95313,96949,0
06/08/2001,17:00:00,45.84375,45.92188,45.53125,45.62500,49666,0
06/11/2001,17:00:00,45.67188,46.17188,45.57813,46.03125,57962,0
06/12/2001,17:00:00,46.07813,46.43750,45.96875,46.34375,66313,0
06/13/2001,17:00:00,46.34375,46.56250,45.93750,46.28125,83886,0
06/14/2001,17:00:00,46.23438,46.75000,46.23438,46.59375,66785,0
06/15/2001,17:00:00,46.60938,47.00000,46.42188,46.50000,75452,0
06/18/2001,17:00:00,46.53125,46.79688,46.48438,46.57813,56288,0
06/19/2001,17:00:00,46.50000,46.71875,46.23438,46.65625,71323,0
06/20/2001,17:00:00,46.67188,47.00000,46.67188,46.87500,78119,0
06/21/2001,17:00:00,46.87500,47.26563,46.76563,46.92188,80221,0
06/22/2001,17:00:00,47.03125,47.56250,47.00000,47.43750,70500,0
06/25/2001,17:00:00,47.50000,47.56250,47.25000,47.34375,53340,0
06/26/2001,17:00:00,47.34375,47.46875,46.62500,46.79688,73296,0
06/27/2001,17:00:00,46.75000,46.93750,46.46875,46.65625,68913,0
06/28/2001,17:00:00,46.65625,46.90625,45.82813,45.95313,89559,0
06/29/2001,17:00:00,45.96875,46.04688,45.25000,45.45313,94072,0
07/02/2001,17:00:00,45.45313,46.06250,45.39063,45.95313,61583,0
07/03/2001,17:00:00,46.06250,46.06250,45.57813,45.60938,38632,0
07/05/2001,17:00:00,45.73438,45.85938,45.21875,45.42188,52312,0
07/06/2001,17:00:00,45.59375,45.93750,45.39063,45.82813,61110,0
07/09/2001,17:00:00,45.93750,46.17188,45.71875,46.01563,51064,0
07/10/2001,17:00:00,46.09375,46.60938,45.95313,46.45313,76146,0
07/11/2001,17:00:00,46.51563,46.85938,46.39063,46.46875,94090,0
07/12/2001,17:00:00,46.34375,46.92188,46.21875,46.82813,83634,0
07/13/2001,17:00:00,46.71875,46.96875,46.45313,46.84375,69380,0
07/16/2001,17:00:00,46.92188,47.34375,46.89063,47.25000,51168,0
07/17/2001,17:00:00,47.31250,47.39063,47.03125,47.23438,70098,0
07/18/2001,17:00:00,47.14063,48.09375,47.07813,48.01563,109934,0
07/19/2001,17:00:00,47.95313,47.96875,47.68750,47.79688,70894,0
07/20/2001,17:00:00,47.81250,48.09375,47.64063,47.75000,64094,0
07/23/2001,17:00:00,47.75000,47.93750,47.54688,47.87500,57987,0
07/24/2001,17:00:00,47.89063,48.07813,47.82813,48.01563,66068,0
07/25/2001,17:00:00,47.90625,47.96875,47.43750,47.53125,85488,0
07/26/2001,17:00:00,47.46875,47.84375,47.31250,47.68750,77805,0
07/27/2001,17:00:00,47.76563,48.20313,47.76563,48.07813,74956,0
07/30/2001,17:00:00,48.07813,48.31250,47.92188,48.20313,47542,0
07/31/2001,17:00:00,48.26563,48.60938,48.12500,48.54688,92526,0
08/01/2001,17:00:00,48.46875,48.54688,48.06250,48.29688,79300,0
08/02/2001,17:00:00,48.25000,48.26563,47.73438,47.84375,70458,0
08/03/2001,17:00:00,47.82813,47.89063,47.45313,47.73438,85495,0
08/06/2001,17:00:00,47.76563,47.84375,47.62500,47.79688,35656,0
08/07/2001,17:00:00,47.85938,47.95313,47.71875,47.75000,58085,0
08/08/2001,17:00:00,47.76563,48.65625,47.75000,48.53125,92054,0
08/09/2001,17:00:00,48.57813,48.79688,48.14063,48.20313,124387,0
08/10/2001,17:00:00,48.26563,48.64063,48.20313,48.46875,79259,0
08/13/2001,17:00:00,48.54688,48.85938,48.45313,48.68750,66035,0
08/14/2001,17:00:00,48.62500,48.65625,48.28125,48.59375,74416,0
08/15/2001,17:00:00,48.57813,48.75000,48.23438,48.39063,98610,0
08/16/2001,17:00:00,48.39063,48.90625,48.26563,48.78125,93719,0
08/17/2001,17:00:00,48.75000,49.43750,48.73438,49.35938,93967,0
08/20/2001,17:00:00,49.32813,49.37500,48.93750,48.98438,59839,0
08/21/2001,17:00:00,48.95313,49.26563,48.82813,49.06250,102903,0
