Date,Time,Open,High,Low,Close,Vol,OI
04/11/2006,16:00:00,546.56000,547.12000,538.40000,545.60000,162137,0
04/12/2006,16:00:00,545.76000,550.48000,542.48000,542.72000,156037,0
04/13/2006,16:00:00,540.00000,551.92000,539.20000,550.56000,70087,0
04/17/2006,16:00:00,553.60000,559.20000,549.44000,558.32000,114712,0
04/18/2006,16:00:00,560.80000,568.40000,556.56000,566.00000,115337,0
04/19/2006,16:00:00,564.64000,577.28000,563.92000,574.80000,98725,0
04/20/2006,16:00:00,575.36000,577.28000,564.08000,568.72000,105400,0
04/21/2006,16:00:00,567.12000,585.84000,566.40000,582.48000,134200,0
04/24/2006,16:00:00,571.20000,579.60000,566.32000,568.08000,130350,0
04/25/2006,16:00:00,573.44000,574.48000,556.96000,565.12000,356737,0
04/26/2006,16:00:00,563.52000,566.80000,555.60000,556.32000,112400,0
04/27/2006,16:00:00,552.80000,556.64000,548.56000,549.60000,79450,0
04/28/2006,16:00:00,554.08000,564.00000,551.92000,556.96000,108512,0
05/01/2006,16:00:00,561.20000,573.20000,560.00000,572.00000,69437,0
05/02/2006,16:00:00,574.72000,581.52000,570.72000,578.72000,108875,0
05/03/2006,16:00:00,579.84000,579.84000,560.00000,561.76000,126875,0
05/04/2006,16:00:00,554.96000,558.16000,538.24000,546.56000,194687,0
05/05/2006,16:00:00,546.40000,547.80000,541.44000,544.00000,84212,0
05/08/2006,16:00:00,537.04000,543.92000,530.44000,543.04000,164037,0
05/09/2006,16:00:00,543.92000,553.44000,542.08000,547.20000,97875,0
05/10/2006,16:00:00,546.56000,558.16000,539.84000,558.16000,88062,0
05/11/2006,16:00:00,568.00000,568.40000,559.36000,562.40000,129437,0
05/12/2006,16:00:00,563.52000,563.52000,552.32000,552.88000,75950,0
05/15/2006,16:00:00,539.76000,542.16000,531.60000,533.04000,83737,0
05/16/2006,16:00:00,536.56000,543.20000,530.48000,533.60000,100250,0
05/17/2006,16:00:00,533.36000,534.00000,523.12000,525.60000,102837,0
05/18/2006,16:00:00,525.44000,534.32000,520.80000,533.92000,82087,0
05/19/2006,16:00:00,528.00000,531.69000,521.20000,524.56000,101512,0
05/22/2006,16:00:00,519.12000,532.56000,519.12000,530.24000,96212,0
05/23/2006,16:00:00,538.00000,547.36000,537.68000,542.16000,78862,0
05/24/2006,16:00:00,537.68000,543.44000,528.40000,528.80000,50087,0
05/25/2006,16:00:00,533.44000,543.04000,530.48000,542.40000,37537,0
