Date,Time,Open,High,Low,Close,Vol,OI
05/15/2001,17:00:00,37.37500,37.56250,36.50000,36.65625,91643,0
05/16/2001,17:00:00,36.68750,37.75000,36.68750,37.28125,120193,0
05/17/2001,17:00:00,37.21875,38.12500,36.93750,38.12500,129411,0
05/18/2001,17:00:00,38.15625,38.53125,37.84375,38.15625,88690,0
05/21/2001,17:00:00,38.06250,38.46875,37.50000,38.21875,74725,0
05/22/2001,17:00:00,38.31250,38.40625,37.96875,37.96875,68342,0
05/23/2001,17:00:00,38.62500,39.12500,38.21875,38.59375,100521,0
05/24/2001,17:00:00,38.59375,39.00000,37.46875,37.65625,110618,0
05/28/2001,17:00:00,37.87500,38.12500,37.50000,37.62500,77585,0
05/29/2001,17:00:00,37.78125,38.12500,37.40625,37.59375,75761,0
05/30/2001,17:00:00,36.93750,37.28125,36.81250,37.03125,60443,0
05/31/2001,17:00:00,37.12500,38.25000,37.09375,37.96875,102271,0
06/01/2001,17:00:00,38.03125,39.06250,37.68750,38.75000,97893,0
06/04/2001,17:00:00,38.75000,39.21875,38.71875,39.00000,52718,0
06/05/2001,17:00:00,38.93750,39.56250,38.71875,39.40625,80345,0
06/06/2001,17:00:00,39.37500,39.56250,38.96875,39.43750,75703,0
06/07/2001,17:00:00,39.50000,39.75000,38.65625,38.84375,102406,0
06/08/2001,17:00:00,38.71875,39.09375,38.53125,38.65625,57261,0
06/11/2001,17:00:00,38.68750,39.53125,38.53125,39.21875,54999,0
06/12/2001,17:00:00,39.21875,39.90625,39.09375,39.68750,90568,0
06/13/2001,17:00:00,39.71875,40.03125,39.15625,39.65625,91458,0
06/14/2001,17:00:00,39.59375,40.21875,39.59375,39.96875,88414,0
06/15/2001,17:00:00,39.90625,40.40625,39.40625,39.56250,89666,0
06/18/2001,17:00:00,39.50000,39.78125,39.28125,39.46875,66200,0
06/19/2001,17:00:00,39.34375,39.71875,38.93750,39.62500,84451,0
06/20/2001,17:00:00,39.65625,40.21875,39.59375,39.90625,95095,0
06/21/2001,17:00:00,39.87500,40.71875,39.87500,40.21875,109124,0
06/22/2001,17:00:00,40.40625,41.18750,40.31250,41.09375,64547,0
06/25/2001,17:00:00,41.06250,41.15625,40.71875,40.90625,57498,0
06/26/2001,17:00:00,40.90625,41.03125,39.87500,40.15625,110703,0
06/27/2001,17:00:00,40.06250,40.71875,39.87500,40.34375,77850,0
06/28/2001,17:00:00,40.21875,40.87500,39.34375,39.56250,153021,0
06/29/2001,17:00:00,39.56250,39.65625,38.46875,38.71875,108370,0
07/02/2001,17:00:00,38.62500,39.46875,38.43750,39.31250,70318,0
07/03/2001,17:00:00,39.40625,39.40625,38.78125,38.84375,44869,0
07/05/2001,17:00:00,38.93750,39.21875,38.18750,38.43750,65174,0
07/06/2001,17:00:00,38.65625,38.96875,38.21875,38.78125,82168,0
