Date,Time,Open,High,Low,Close,Vol,OI
03/29/2004,17:00:00,237.37000,237.46000,237.22000,237.24000,52,113
03/30/2004,17:00:00,237.33000,237.51000,237.08000,237.08000,93,159
03/31/2004,17:00:00,237.14000,237.28000,237.14000,237.19000,562,684
04/01/2004,17:00:00,237.34000,237.46000,237.11000,237.12000,84,708
04/02/2004,17:00:00,236.94000,236.94000,236.31000,236.45000,89,804
04/05/2004,17:00:00,236.20000,236.27000,236.02000,236.09000,84,839
04/06/2004,17:00:00,236.04000,236.36000,236.04000,236.23000,304,1126
04/07/2004,17:00:00,236.44000,236.72000,236.36000,236.60000,226,1325
04/08/2004,17:00:00,236.42000,236.62000,236.42000,236.48000,98,1485
04/12/2004,17:00:00,236.25000,236.25000,236.17000,236.17000,5,1486
04/13/2004,17:00:00,236.47000,236.78000,236.36000,236.78000,25,1464
04/14/2004,17:00:00,236.85000,236.97000,236.85000,236.90000,308,1589
04/15/2004,17:00:00,236.80000,236.91000,236.73000,236.73000,142,1667
04/16/2004,17:00:00,236.65000,236.66000,236.47000,236.48000,61,1718
04/19/2004,17:00:00,236.57000,236.61000,236.32000,236.32000,11,1723
04/20/2004,17:00:00,236.34000,236.58000,236.12000,236.58000,125,1836
04/21/2004,17:00:00,236.56000,236.57000,236.11000,236.13000,11,1817
04/22/2004,17:00:00,236.02000,236.02000,234.61000,234.74000,95,1884
04/23/2004,17:00:00,234.70000,234.97000,234.70000,234.77000,601,1461
04/26/2004,17:00:00,234.77000,234.86000,234.70000,234.70000,246,1282
04/27/2004,17:00:00,234.59000,234.59000,233.97000,234.21000,87,1290
04/28/2004,17:00:00,234.52000,234.98000,234.47000,234.97000,335,1108
04/29/2004,17:00:00,234.70000,235.38000,234.70000,235.27000,274,1115
04/30/2004,17:00:00,235.01000,235.75000,235.01000,235.75000,131,1018
05/03/2004,17:00:00,235.47000,235.47000,235.27000,235.27000,42,934
05/04/2004,17:00:00,235.07000,235.15000,234.32000,234.32000,36,930
05/05/2004,17:00:00,234.51000,234.52000,234.07000,234.07000,237,996
05/06/2004,17:00:00,234.32000,235.12000,234.32000,234.97000,41,1034
05/07/2004,17:00:00,235.01000,235.61000,234.59000,235.61000,136,1083
05/10/2004,17:00:00,236.26000,237.05000,236.07000,236.89000,219,1198
05/11/2004,17:00:00,236.37000,236.37000,235.80000,235.90000,85,1109
