Date,Time,Open,High,Low,Close,Vol,OI
01/03/1990,16:15:00,18.19000,18.19000,18.19000,18.19000,0,0
01/04/1990,16:15:00,19.22000,19.22000,19.22000,19.22000,0,0
01/05/1990,16:15:00,20.11000,20.11000,20.11000,20.11000,0,0
01/08/1990,16:15:00,20.26000,20.26000,20.26000,20.26000,0,0
01/09/1990,16:15:00,22.20000,22.20000,22.20000,22.20000,0,0
01/10/1990,16:15:00,22.44000,22.44000,22.44000,22.44000,0,0
01/11/1990,16:15:00,20.05000,20.05000,20.05000,20.05000,0,0
01/12/1990,16:15:00,24.64000,24.64000,24.64000,24.64000,0,0
01/15/1990,16:15:00,26.34000,26.34000,26.34000,26.34000,0,0
01/16/1990,16:15:00,24.18000,24.18000,24.18000,24.18000,0,0
01/17/1990,16:15:00,24.16000,24.16000,24.16000,24.16000,0,0
01/18/1990,16:15:00,24.34000,24.34000,24.34000,24.34000,0,0
01/19/1990,16:15:00,22.50000,22.50000,22.50000,22.50000,0,0
01/22/1990,16:15:00,26.70000,26.70000,26.70000,26.70000,0,0
01/23/1990,16:15:00,24.72000,24.72000,24.72000,24.72000,0,0
01/24/1990,16:15:00,25.39000,25.39000,25.39000,25.39000,0,0
01/25/1990,16:15:00,25.63000,25.63000,25.63000,25.63000,0,0
01/26/1990,16:15:00,26.28000,26.28000,26.28000,26.28000,0,0
01/29/1990,16:15:00,26.44000,26.44000,26.44000,26.44000,0,0
01/30/1990,16:15:00,27.25000,27.25000,27.25000,27.25000,0,0
01/31/1990,16:15:00,25.36000,25.36000,25.36000,25.36000,0,0
02/01/1990,16:15:00,24.87000,24.87000,24.87000,24.87000,0,0
02/02/1990,16:15:00,24.32000,24.32000,24.32000,24.32000,0,0
02/05/1990,16:15:00,24.54000,24.54000,24.54000,24.54000,0,0
02/06/1990,16:15:00,24.69000,24.69000,24.69000,24.69000,0,0
02/07/1990,16:15:00,24.29000,24.29000,24.29000,24.29000,0,0
02/08/1990,16:15:00,23.77000,23.77000,23.77000,23.77000,0,0
02/09/1990,16:15:00,23.69000,23.69000,23.69000,23.69000,0,0
02/12/1990,16:15:00,24.38000,24.38000,24.38000,24.38000,0,0
02/13/1990,16:15:00,23.76000,23.76000,23.76000,23.76000,0,0
02/14/1990,16:15:00,22.05000,22.05000,22.05000,22.05000,0,0
02/15/1990,16:15:00,19.71000,19.71000,19.71000,19.71000,0,0
02/16/1990,16:15:00,20.78000,20.78000,20.78000,20.78000,0,0
02/20/1990,16:15:00,22.78000,22.78000,22.78000,22.78000,0,0
02/21/1990,16:15:00,23.89000,23.89000,23.89000,23.89000,0,0
02/22/1990,16:15:00,22.54000,22.54000,22.54000,22.54000,0,0
02/23/1990,16:15:00,23.69000,23.69000,23.69000,23.69000,0,0
02/26/1990,16:15:00,23.56000,23.56000,23.56000,23.56000,0,0
02/27/1990,16:15:00,22.69000,22.69000,22.69000,22.69000,0,0
02/28/1990,16:15:00,21.99000,21.99000,21.99000,21.99000,0,0
03/01/1990,16:15:00,21.90000,21.90000,21.90000,21.90000,0,0
03/02/1990,16:15:00,21.34000,21.34000,21.34000,21.34000,0,0
03/05/1990,16:15:00,22.03000,22.03000,22.03000,22.03000,0,0
03/06/1990,16:15:00,20.55000,20.55000,20.55000,20.55000,0,0
03/07/1990,16:15:00,19.10000,19.10000,19.10000,19.10000,0,0
03/08/1990,16:15:00,19.74000,19.74000,19.74000,19.74000,0,0
03/09/1990,16:15:00,20.30000,20.30000,20.30000,20.30000,0,0
03/12/1990,16:15:00,20.07000,20.07000,20.07000,20.07000,0,0
03/13/1990,16:15:00,21.05000,21.05000,21.05000,21.05000,0,0
03/14/1990,16:15:00,19.65000,19.65000,19.65000,19.65000,0,0
03/15/1990,16:15:00,18.81000,18.81000,18.81000,18.81000,0,0
03/16/1990,16:15:00,17.62000,17.62000,17.62000,17.62000,0,0
03/19/1990,16:15:00,18.29000,18.29000,18.29000,18.29000,0,0
03/20/1990,16:15:00,19.06000,19.06000,19.06000,19.06000,0,0
03/21/1990,16:15:00,20.10000,20.10000,20.10000,20.10000,0,0
03/22/1990,16:15:00,22.74000,22.74000,22.74000,22.74000,0,0
03/23/1990,16:15:00,20.46000,20.46000,20.46000,20.46000,0,0
03/26/1990,16:15:00,19.59000,19.59000,19.59000,19.59000,0,0
03/27/1990,16:15:00,21.01000,21.01000,21.01000,21.01000,0,0
03/28/1990,16:15:00,19.77000,19.77000,19.77000,19.77000,0,0
03/29/1990,16:15:00,18.46000,18.46000,18.46000,18.46000,0,0
03/30/1990,16:15:00,19.73000,19.73000,19.73000,19.73000,0,0
04/02/1990,16:15:00,22.84000,22.84000,22.84000,22.84000,0,0
04/03/1990,16:15:00,20.44000,20.44000,20.44000,20.44000,0,0
04/04/1990,16:15:00,22.03000,22.03000,22.03000,22.03000,0,0
04/05/1990,16:15:00,21.21000,21.21000,21.21000,21.21000,0,0
04/06/1990,16:15:00,21.76000,21.76000,21.76000,21.76000,0,0
04/09/1990,16:15:00,22.30000,22.30000,22.30000,22.30000,0,0
04/10/1990,16:15:00,21.69000,21.69000,21.69000,21.69000,0,0
04/11/1990,16:15:00,17.73000,17.73000,17.73000,17.73000,0,0
04/12/1990,16:15:00,19.80000,19.80000,19.80000,19.80000,0,0
04/16/1990,16:15:00,20.75000,20.75000,20.75000,20.75000,0,0
04/17/1990,16:15:00,20.38000,20.38000,20.38000,20.38000,0,0
04/18/1990,16:15:00,22.67000,22.67000,22.67000,22.67000,0,0
04/19/1990,16:15:00,22.46000,22.46000,22.46000,22.46000,0,0
04/20/1990,16:15:00,23.33000,23.33000,23.33000,23.33000,0,0
04/23/1990,16:15:00,24.16000,24.16000,24.16000,24.16000,0,0
04/24/1990,16:15:00,21.70000,21.70000,21.70000,21.70000,0,0
04/25/1990,16:15:00,20.86000,20.86000,20.86000,20.86000,0,0
04/26/1990,16:15:00,20.25000,20.25000,20.25000,20.25000,0,0
04/27/1990,16:15:00,22.19000,22.19000,22.19000,22.19000,0,0
04/30/1990,16:15:00,19.52000,19.52000,19.52000,19.52000,0,0
05/01/1990,16:15:00,18.43000,18.43000,18.43000,18.43000,0,0
05/02/1990,16:15:00,19.32000,19.32000,19.32000,19.32000,0,0
05/03/1990,16:15:00,17.81000,17.81000,17.81000,17.81000,0,0
05/04/1990,16:15:00,17.28000,17.28000,17.28000,17.28000,0,0
05/07/1990,16:15:00,17.65000,17.65000,17.65000,17.65000,0,0
05/08/1990,16:15:00,18.49000,18.49000,18.49000,18.49000,0,0
05/09/1990,16:15:00,18.64000,18.64000,18.64000,18.64000,0,0
05/10/1990,16:15:00,18.59000,18.59000,18.59000,18.59000,0,0
05/11/1990,16:15:00,19.81000,19.81000,19.81000,19.81000,0,0
05/14/1990,16:15:00,20.14000,20.14000,20.14000,20.14000,0,0
05/15/1990,16:15:00,19.49000,19.49000,19.49000,19.49000,0,0
05/16/1990,16:15:00,17.71000,17.71000,17.71000,17.71000,0,0
05/17/1990,16:15:00,17.27000,17.27000,17.27000,17.27000,0,0
05/18/1990,16:15:00,17.20000,17.20000,17.20000,17.20000,0,0
05/21/1990,16:15:00,16.72000,16.72000,16.72000,16.72000,0,0
05/22/1990,16:15:00,17.84000,17.84000,17.84000,17.84000,0,0
05/23/1990,16:15:00,17.18000,17.18000,17.18000,17.18000,0,0
05/24/1990,16:15:00,17.70000,17.70000,17.70000,17.70000,0,0
05/25/1990,16:15:00,17.32000,17.32000,17.32000,17.32000,0,0
05/29/1990,16:15:00,18.75000,18.75000,18.75000,18.75000,0,0
05/30/1990,16:15:00,17.44000,17.44000,17.44000,17.44000,0,0
05/31/1990,16:15:00,17.37000,17.37000,17.37000,17.37000,0,0
06/01/1990,16:15:00,17.09000,17.09000,17.09000,17.09000,0,0
06/04/1990,16:15:00,18.39000,18.39000,18.39000,18.39000,0,0
06/05/1990,16:15:00,18.97000,18.97000,18.97000,18.97000,0,0
06/06/1990,16:15:00,17.42000,17.42000,17.42000,17.42000,0,0
06/07/1990,16:15:00,16.88000,16.88000,16.88000,16.88000,0,0
06/08/1990,16:15:00,17.58000,17.58000,17.58000,17.58000,0,0
06/11/1990,16:15:00,16.34000,16.34000,16.34000,16.34000,0,0
06/12/1990,16:15:00,16.60000,16.60000,16.60000,16.60000,0,0
06/13/1990,16:15:00,17.38000,17.38000,17.38000,17.38000,0,0
06/14/1990,16:15:00,17.40000,17.40000,17.40000,17.40000,0,0
06/15/1990,16:15:00,15.90000,15.90000,15.90000,15.90000,0,0
06/18/1990,16:15:00,17.71000,17.71000,17.71000,17.71000,0,0
06/19/1990,16:15:00,15.23000,15.23000,15.23000,15.23000,0,0
06/20/1990,16:15:00,15.27000,15.27000,15.27000,15.27000,0,0
06/21/1990,16:15:00,14.72000,14.72000,14.72000,14.72000,0,0
06/22/1990,16:15:00,19.36000,19.36000,19.36000,19.36000,0,0
06/25/1990,16:15:00,17.06000,17.06000,17.06000,17.06000,0,0
06/26/1990,16:15:00,16.29000,16.29000,16.29000,16.29000,0,0
06/27/1990,16:15:00,16.00000,16.00000,16.00000,16.00000,0,0
06/28/1990,16:15:00,16.18000,16.18000,16.18000,16.18000,0,0
06/29/1990,16:15:00,15.50000,15.50000,15.50000,15.50000,0,0
07/02/1990,16:15:00,16.26000,16.26000,16.26000,16.26000,0,0
07/03/1990,16:15:00,16.11000,16.11000,16.11000,16.11000,0,0
07/05/1990,16:15:00,17.25000,17.25000,17.25000,17.25000,0,0
07/06/1990,16:15:00,16.41000,16.41000,16.41000,16.41000,0,0
07/09/1990,16:15:00,16.66000,16.66000,16.66000,16.66000,0,0
07/10/1990,16:15:00,16.92000,16.92000,16.92000,16.92000,0,0
07/11/1990,16:15:00,16.68000,16.68000,16.68000,16.68000,0,0
07/12/1990,16:15:00,17.06000,17.06000,17.06000,17.06000,0,0
07/13/1990,16:15:00,17.09000,17.09000,17.09000,17.09000,0,0
07/16/1990,16:15:00,16.75000,16.75000,16.75000,16.75000,0,0
07/17/1990,16:15:00,16.66000,16.66000,16.66000,16.66000,0,0
07/18/1990,16:15:00,18.90000,18.90000,18.90000,18.90000,0,0
07/19/1990,16:15:00,18.56000,18.56000,18.56000,18.56000,0,0
07/20/1990,16:15:00,15.63000,15.63000,15.63000,15.63000,0,0
07/23/1990,16:15:00,23.68000,23.68000,23.68000,23.68000,0,0
07/24/1990,16:15:00,21.79000,21.79000,21.79000,21.79000,0,0
07/25/1990,16:15:00,20.19000,20.19000,20.19000,20.19000,0,0
07/26/1990,16:15:00,20.26000,20.26000,20.26000,20.26000,0,0
07/27/1990,16:15:00,21.12000,21.12000,21.12000,21.12000,0,0
07/30/1990,16:15:00,21.16000,21.16000,21.16000,21.16000,0,0
07/31/1990,16:15:00,21.11000,21.11000,21.11000,21.11000,0,0
08/01/1990,16:15:00,21.64000,21.64000,21.64000,21.64000,0,0
08/02/1990,16:15:00,20.43000,20.43000,20.43000,20.43000,0,0
08/03/1990,16:15:00,28.74000,28.74000,28.74000,28.74000,0,0
08/06/1990,16:15:00,35.91000,35.91000,35.91000,35.91000,0,0
08/07/1990,16:15:00,32.75000,32.75000,32.75000,32.75000,0,0
08/08/1990,16:15:00,28.27000,28.27000,28.27000,28.27000,0,0
08/09/1990,16:15:00,24.39000,24.39000,24.39000,24.39000,0,0
08/10/1990,16:15:00,25.75000,25.75000,25.75000,25.75000,0,0
08/13/1990,16:15:00,25.74000,25.74000,25.74000,25.74000,0,0
08/14/1990,16:15:00,24.18000,24.18000,24.18000,24.18000,0,0
08/15/1990,16:15:00,23.31000,23.31000,23.31000,23.31000,0,0
08/16/1990,16:15:00,27.16000,27.16000,27.16000,27.16000,0,0
08/17/1990,16:15:00,27.53000,27.53000,27.53000,27.53000,0,0
08/20/1990,16:15:00,26.46000,26.46000,26.46000,26.46000,0,0
08/21/1990,16:15:00,28.90000,28.90000,28.90000,28.90000,0,0
08/22/1990,16:15:00,30.55000,30.55000,30.55000,30.55000,0,0
08/23/1990,16:15:00,36.47000,36.47000,36.47000,36.47000,0,0
08/24/1990,16:15:00,33.93000,33.93000,33.93000,33.93000,0,0
08/27/1990,16:15:00,29.63000,29.63000,29.63000,29.63000,0,0
08/28/1990,16:15:00,29.12000,29.12000,29.12000,29.12000,0,0
08/29/1990,16:15:00,27.38000,27.38000,27.38000,27.38000,0,0
08/30/1990,16:15:00,29.89000,29.89000,29.89000,29.89000,0,0
08/31/1990,16:15:00,29.90000,29.90000,29.90000,29.90000,0,0
09/04/1990,16:15:00,29.58000,29.58000,29.58000,29.58000,0,0
09/05/1990,16:15:00,28.52000,28.52000,28.52000,28.52000,0,0
09/06/1990,16:15:00,30.19000,30.19000,30.19000,30.19000,0,0
09/07/1990,16:15:00,28.73000,28.73000,28.73000,28.73000,0,0
09/10/1990,16:15:00,29.34000,29.34000,29.34000,29.34000,0,0
09/11/1990,16:15:00,28.38000,28.38000,28.38000,28.38000,0,0
09/12/1990,16:15:00,28.12000,28.12000,28.12000,28.12000,0,0
09/13/1990,16:15:00,29.33000,29.33000,29.33000,29.33000,0,0
09/14/1990,16:15:00,30.56000,30.56000,30.56000,30.56000,0,0
09/17/1990,16:15:00,29.55000,29.55000,29.55000,29.55000,0,0
09/18/1990,16:15:00,28.82000,28.82000,28.82000,28.82000,0,0
09/19/1990,16:15:00,27.88000,27.88000,27.88000,27.88000,0,0
09/20/1990,16:15:00,28.66000,28.66000,28.66000,28.66000,0,0
09/21/1990,16:15:00,30.04000,30.04000,30.04000,30.04000,0,0
09/24/1990,16:15:00,30.56000,30.56000,30.56000,30.56000,0,0
09/25/1990,16:15:00,28.81000,28.81000,28.81000,28.81000,0,0
09/26/1990,16:15:00,28.19000,28.19000,28.19000,28.19000,0,0
09/27/1990,16:15:00,28.67000,28.67000,28.67000,28.67000,0,0
09/28/1990,16:15:00,29.11000,29.11000,29.11000,29.11000,0,0
10/01/1990,16:15:00,28.06000,28.06000,28.06000,28.06000,0,0
10/02/1990,16:15:00,27.28000,27.28000,27.28000,27.28000,0,0
10/03/1990,16:15:00,27.90000,27.90000,27.90000,27.90000,0,0
10/04/1990,16:15:00,27.51000,27.51000,27.51000,27.51000,0,0
10/05/1990,16:15:00,27.85000,27.85000,27.85000,27.85000,0,0
10/08/1990,16:15:00,28.04000,28.04000,28.04000,28.04000,0,0
