Date,Time,Open,High,Low,Close,Vol,OI
11/26/2002,14:20:00,1938.50000,1938.50000,1934.50000,1934.50000,200,63275
11/27/2002,14:20:00,1930.50000,1936.00000,1930.25000,1936.00000,69,63275
11/29/2002,14:20:00,1935.25000,1935.25000,1931.25000,1932.00000,203,63275
12/02/2002,14:20:00,1932.25000,1937.25000,1928.50000,1928.50000,165,63275
12/03/2002,14:20:00,1928.50000,1929.25000,1912.50000,1912.50000,128,63275
12/04/2002,14:20:00,1913.25000,1914.25000,1912.25000,1914.00000,286,63275
12/05/2002,14:20:00,1915.00000,1915.00000,1905.25000,1905.25000,54,63275
12/06/2002,14:20:00,1905.75000,1910.00000,1905.25000,1910.00000,136,63275
12/09/2002,14:20:00,1910.50000,1911.00000,1908.50000,1909.75000,46,63275
12/10/2002,14:20:00,1909.50000,1910.50000,1901.75000,1901.75000,75,63275
12/11/2002,14:20:00,1902.50000,1907.00000,1901.75000,1907.00000,101,63275
12/12/2002,14:20:00,1907.25000,1907.75000,1906.25000,1906.75000,84,63275
12/13/2002,14:20:00,1907.75000,1908.25000,1905.25000,1905.25000,199,63275
12/16/2002,14:20:00,1904.50000,1907.25000,1903.25000,1907.25000,88,63275
12/17/2002,14:20:00,1907.25000,1913.75000,1906.75000,1913.75000,87,63275
12/18/2002,14:20:00,1913.25000,1916.25000,1908.25000,1908.25000,142,63275
12/19/2002,14:20:00,1908.00000,1909.25000,1902.50000,1902.50000,101,63275
12/20/2002,14:20:00,1902.50000,1902.50000,1895.00000,1895.00000,174,63275
12/23/2002,14:20:00,1895.00000,1898.00000,1894.75000,1898.00000,86,63275
12/26/2002,14:20:00,1898.00000,1898.00000,1898.00000,1898.00000,86,63275
12/27/2002,14:20:00,1890.25000,1892.25000,1885.25000,1885.25000,40,63275
12/30/2002,14:20:00,1886.25000,1887.00000,1881.25000,1881.25000,104,63275
12/31/2002,14:20:00,1881.25000,1882.25000,1877.25000,1877.25000,108,63275
01/02/2003,14:20:00,1878.00000,1881.00000,1877.25000,1881.00000,117,63275
01/03/2003,14:20:00,1881.25000,1883.00000,1881.00000,1882.75000,229,63275
01/06/2003,14:20:00,1882.00000,1883.75000,1881.00000,1883.75000,95,63275
01/07/2003,14:20:00,1883.50000,1885.25000,1880.00000,1880.00000,78,63275
01/08/2003,14:20:00,1883.25000,1889.25000,1883.25000,1889.25000,951,63275
01/09/2003,14:20:00,1888.75000,1891.00000,1881.25000,1881.25000,117,63275
01/10/2003,14:20:00,1882.00000,1882.75000,1871.50000,1871.50000,275,63275
01/13/2003,14:20:00,1872.25000,1873.25000,1863.50000,1863.50000,161,63275
01/14/2003,14:20:00,1863.50000,1866.50000,1861.25000,1866.50000,308,63275
01/15/2003,14:20:00,1867.00000,1867.00000,1865.00000,1865.00000,181,63275
01/16/2003,14:20:00,1864.25000,1866.25000,1863.25000,1863.25000,149,63275
01/17/2003,14:20:00,1863.00000,1869.00000,1863.00000,1869.00000,38,63275
01/21/2003,14:20:00,1869.50000,1871.50000,1867.75000,1871.50000,67,63275
01/22/2003,14:20:00,1871.25000,1872.25000,1866.75000,1866.75000,30,63275
