Date,Time,Open,High,Low,Close,Vol,OI
02/07/2006,16:00:00,44.47000,44.75000,43.87000,43.87000,203500,0
02/08/2006,16:00:00,43.80000,44.62000,43.45000,44.61000,553500,0
02/09/2006,16:00:00,44.51000,44.88000,44.28000,44.28000,70700,0
02/10/2006,16:00:00,43.95000,44.10000,43.44000,43.80000,264100,0
02/13/2006,16:00:00,43.66000,43.73000,43.32000,43.50000,364700,0
02/14/2006,16:00:00,43.30000,44.35000,42.89000,44.25000,639200,0
02/15/2006,16:00:00,44.50000,45.02000,44.17000,44.68000,571100,0
02/16/2006,16:00:00,45.11000,45.22000,44.60000,45.20000,253200,0
02/17/2006,16:00:00,45.40000,45.40000,44.79000,44.81000,57000,0
02/21/2006,16:00:00,45.13000,45.25000,44.59000,45.08000,243800,0
02/22/2006,16:00:00,45.40000,46.08000,45.04000,45.91000,333600,0
02/23/2006,16:00:00,45.18000,45.98000,45.18000,45.61000,307200,0
02/24/2006,16:00:00,45.45000,45.45000,45.13000,45.35000,144500,0
02/27/2006,16:00:00,45.23000,45.60000,44.90000,45.28000,300400,0
02/28/2006,16:00:00,45.21000,45.29000,44.66000,44.70000,237200,0
03/01/2006,16:00:00,44.52000,44.80000,44.45000,44.80000,166400,0
03/02/2006,16:00:00,44.54000,45.10000,44.51000,44.80000,339300,0
03/03/2006,16:00:00,44.46000,44.46000,44.07000,44.09000,452400,0
03/06/2006,16:00:00,43.95000,43.95000,43.53000,43.61000,391200,0
03/07/2006,16:00:00,43.16000,43.16000,42.54000,42.82000,468800,0
03/08/2006,16:00:00,42.28000,42.79000,42.15000,42.75000,463500,0
03/09/2006,16:00:00,42.82000,42.83000,41.89000,41.98000,562000,0
03/10/2006,16:00:00,42.04000,42.79000,42.04000,42.54000,509800,0
03/13/2006,16:00:00,42.93000,43.24000,42.73000,42.83000,451800,0
03/14/2006,16:00:00,42.95000,44.63000,42.92000,44.56000,261700,0
03/15/2006,16:00:00,44.44000,44.71000,44.10000,44.26000,314700,0
03/16/2006,16:00:00,44.65000,45.64000,44.65000,45.32000,718000,0
03/17/2006,16:00:00,45.56000,46.39000,45.56000,46.14000,437800,0
