Date,Time,Open,High,Low,Close,Vol,OI
01/05/1999,16:00:00,21.91000,22.28000,21.91000,22.19000,4400,0
01/06/1999,16:00:00,22.31000,22.56000,22.22000,22.56000,12900,0
01/07/1999,16:00:00,22.47000,23.47000,22.31000,22.41000,56200,0
01/08/1999,16:00:00,22.59000,23.16000,22.59000,23.16000,25200,0
01/11/1999,16:00:00,23.19000,23.22000,23.00000,23.22000,14200,0
01/12/1999,16:00:00,23.03000,23.13000,22.56000,22.63000,5100,0
01/13/1999,16:00:00,21.94000,22.38000,21.94000,22.16000,5000,0
01/14/1999,16:00:00,22.22000,22.22000,21.56000,21.75000,127300,0
01/15/1999,16:00:00,22.00000,22.06000,21.88000,22.06000,15800,0
01/19/1999,16:00:00,22.00000,22.00000,21.50000,21.66000,26700,0
01/20/1999,16:00:00,21.66000,21.81000,21.56000,21.59000,40900,0
01/21/1999,16:00:00,21.59000,21.63000,21.38000,21.50000,59900,0
01/22/1999,16:00:00,21.28000,21.34000,21.03000,21.06000,7000,0
01/25/1999,16:00:00,21.28000,21.50000,21.22000,21.50000,29300,0
01/26/1999,16:00:00,21.41000,21.44000,21.19000,21.44000,1800,0
01/27/1999,16:00:00,21.81000,21.81000,21.25000,21.25000,15100,0
01/28/1999,16:00:00,21.38000,21.38000,21.00000,21.00000,6800,0
01/29/1999,16:00:00,20.94000,21.09000,20.94000,21.09000,400,0
02/01/1999,16:00:00,21.28000,21.50000,21.28000,21.28000,2900,0
02/02/1999,16:00:00,21.19000,21.38000,21.19000,21.28000,2800,0
02/03/1999,16:00:00,21.31000,21.38000,21.25000,21.31000,1100,0
02/04/1999,16:00:00,21.34000,22.03000,21.34000,21.94000,6800,0
02/05/1999,16:00:00,22.05000,22.44000,22.05000,22.23000,39700,0
02/08/1999,16:00:00,22.30000,22.36000,22.03000,22.13000,20200,0
02/09/1999,16:00:00,22.13000,22.13000,21.70000,21.70000,13700,0
02/10/1999,16:00:00,21.86000,21.86000,21.66000,21.75000,4900,0
02/11/1999,16:00:00,21.63000,21.83000,21.53000,21.53000,9900,0
02/12/1999,16:00:00,21.56000,21.63000,21.42000,21.42000,2300,0
02/16/1999,16:00:00,21.83000,21.83000,21.22000,21.22000,4800,0
02/17/1999,16:00:00,21.13000,21.42000,21.00000,21.00000,5100,0
02/18/1999,16:00:00,21.05000,21.19000,20.92000,21.16000,30900,0
02/19/1999,16:00:00,21.23000,21.36000,21.19000,21.33000,8000,0
02/22/1999,16:00:00,21.25000,21.75000,21.25000,21.69000,7600,0
02/23/1999,16:00:00,21.73000,21.75000,21.38000,21.50000,5300,0
02/24/1999,16:00:00,21.81000,21.81000,21.44000,21.44000,2600,0
