Date,Time,Open,High,Low,Close,Vol,OI
01/05/1999,16:00:00,21.68000,21.68000,21.37000,21.40000,42700,0
01/06/1999,16:00:00,21.68000,22.21000,21.52000,22.18000,56400,0
01/07/1999,16:00:00,22.18000,22.18000,21.77000,22.05000,72600,0
01/08/1999,16:00:00,22.21000,22.77000,21.58000,22.18000,421100,0
01/11/1999,16:00:00,21.96000,21.99000,21.65000,21.71000,35000,0
01/12/1999,16:00:00,21.58000,21.80000,21.33000,21.37000,89200,0
01/13/1999,16:00:00,20.96000,21.40000,20.90000,21.02000,42400,0
01/14/1999,16:00:00,20.96000,21.08000,20.58000,20.58000,70000,0
01/15/1999,16:00:00,20.77000,20.96000,20.65000,20.93000,10700,0
01/19/1999,16:00:00,20.99000,20.99000,20.74000,20.93000,11000,0
01/20/1999,16:00:00,20.80000,21.02000,20.71000,20.74000,15800,0
01/21/1999,16:00:00,20.74000,21.12000,20.71000,20.93000,23900,0
01/22/1999,16:00:00,20.96000,21.02000,20.77000,20.80000,19300,0
01/25/1999,16:00:00,20.90000,20.90000,20.58000,20.77000,18200,0
01/26/1999,16:00:00,20.80000,20.80000,20.37000,20.55000,25700,0
01/27/1999,16:00:00,20.58000,20.58000,20.08000,20.15000,37100,0
01/28/1999,16:00:00,20.21000,20.21000,19.83000,20.02000,30800,0
01/29/1999,16:00:00,19.90000,19.90000,19.65000,19.87000,17600,0
02/01/1999,16:00:00,20.02000,20.08000,19.80000,19.80000,23100,0
02/02/1999,16:00:00,19.83000,20.02000,19.74000,19.83000,26500,0
02/03/1999,16:00:00,19.96000,20.46000,19.96000,20.33000,29400,0
02/04/1999,16:00:00,20.33000,20.52000,20.27000,20.46000,26000,0
02/05/1999,16:00:00,20.52000,21.15000,20.40000,21.08000,61900,0
02/08/1999,16:00:00,21.18000,21.40000,21.15000,21.40000,31000,0
02/09/1999,16:00:00,21.43000,21.43000,20.96000,20.96000,63800,0
02/10/1999,16:00:00,21.05000,21.27000,20.90000,21.02000,60500,0
02/11/1999,16:00:00,20.93000,20.93000,20.49000,20.83000,211700,0
02/12/1999,16:00:00,20.58000,20.83000,20.36000,20.36000,235500,0
02/16/1999,16:00:00,20.54000,20.65000,19.99000,20.21000,28200,0
02/17/1999,16:00:00,20.08000,20.30000,19.96000,19.99000,39200,0
02/18/1999,16:00:00,19.96000,20.18000,19.74000,20.05000,79100,0
02/19/1999,16:00:00,20.15000,20.18000,19.74000,19.93000,127000,0
02/22/1999,16:00:00,20.08000,20.21000,19.90000,20.15000,76700,0
02/23/1999,16:00:00,20.21000,20.30000,19.96000,19.96000,191100,0
02/24/1999,16:00:00,20.02000,20.30000,19.86000,19.86000,31500,0
