Date,Time,Open,High,Low,Close,Vol,OI
01/05/1999,16:00:00,18.96000,19.23000,18.96000,19.21000,47782,0
01/06/1999,16:00:00,19.56000,19.84000,19.44000,19.82000,129923,0
01/07/1999,16:00:00,19.62000,20.12000,19.56000,20.12000,90022,0
01/08/1999,16:00:00,20.35000,20.35000,20.02000,20.25000,173764,0
01/11/1999,16:00:00,20.28000,20.28000,19.74000,19.95000,62929,0
01/12/1999,16:00:00,19.84000,19.84000,19.39000,19.39000,117115,0
01/13/1999,16:00:00,18.45000,19.39000,18.45000,19.23000,358859,0
01/14/1999,16:00:00,19.08000,19.21000,18.47000,18.65000,59974,0
01/15/1999,16:00:00,18.90000,19.18000,18.80000,19.18000,96796,0
01/19/1999,16:00:00,19.49000,19.49000,18.83000,19.08000,54924,0
01/20/1999,16:00:00,19.29000,19.51000,19.11000,19.21000,76476,0
01/21/1999,16:00:00,19.06000,19.13000,18.83000,18.88000,438660,0
01/22/1999,16:00:00,18.78000,18.88000,18.65000,18.75000,109973,0
01/25/1999,16:00:00,18.85000,18.93000,18.63000,18.90000,169700,0
01/26/1999,16:00:00,18.98000,19.01000,18.78000,18.90000,118100,0
01/27/1999,16:00:00,19.03000,19.03000,18.68000,18.68000,56895,0
01/28/1999,16:00:00,18.63000,19.01000,18.63000,18.96000,47289,0
01/29/1999,16:00:00,19.06000,19.39000,18.80000,19.36000,73028,0
02/01/1999,16:00:00,19.44000,19.44000,19.03000,19.03000,59850,0
02/02/1999,16:00:00,18.88000,18.98000,18.63000,18.83000,107263,0
02/03/1999,16:00:00,18.73000,19.11000,18.57000,18.96000,69702,0
02/04/1999,16:00:00,18.83000,18.93000,18.52000,18.52000,48644,0
02/05/1999,16:00:00,18.49000,18.57000,18.25000,18.37000,81402,0
02/08/1999,16:00:00,18.50000,18.52000,18.19000,18.32000,128568,0
02/09/1999,16:00:00,18.32000,18.37000,17.94000,18.07000,262309,0
02/10/1999,16:00:00,18.12000,18.22000,17.92000,18.22000,28570,0
02/11/1999,16:00:00,18.30000,18.98000,18.30000,18.96000,58742,0
02/12/1999,16:00:00,18.85000,18.96000,18.47000,18.68000,94702,0
02/16/1999,16:00:00,18.87000,19.08000,18.83000,18.96000,458487,0
02/17/1999,16:00:00,19.03000,19.41000,18.85000,19.03000,485211,0
02/18/1999,16:00:00,19.13000,19.34000,18.98000,19.22000,58619,0
02/19/1999,16:00:00,19.36000,19.64000,19.25000,19.29000,53570,0
02/22/1999,16:00:00,19.44000,19.98000,19.44000,19.84000,64161,0
