Date,Time,Open,High,Low,Close,Vol,OI
01/05/1999,16:00:00,24.34000,24.75000,24.34000,24.72000,2000,0
01/06/1999,16:00:00,24.94000,25.31000,24.94000,25.25000,13500,0
01/07/1999,16:00:00,25.06000,25.13000,24.84000,25.03000,13100,0
01/08/1999,16:00:00,24.97000,25.25000,24.81000,25.22000,11000,0
01/11/1999,16:00:00,25.16000,25.16000,24.88000,24.97000,2200,0
01/12/1999,16:00:00,24.78000,24.91000,24.59000,24.69000,6500,0
01/13/1999,16:00:00,24.03000,24.34000,24.00000,24.34000,700,0
01/14/1999,16:00:00,24.00000,24.22000,23.94000,23.94000,4100,0
01/15/1999,16:00:00,24.06000,24.41000,24.06000,24.34000,4900,0
01/19/1999,16:00:00,24.56000,24.56000,24.09000,24.31000,10100,0
01/20/1999,16:00:00,24.38000,24.50000,24.19000,24.19000,1700,0
01/21/1999,16:00:00,24.13000,24.13000,23.97000,24.00000,2500,0
01/22/1999,16:00:00,23.66000,23.75000,23.53000,23.53000,8700,0
01/25/1999,16:00:00,23.63000,23.91000,23.59000,23.91000,4600,0
01/27/1999,16:00:00,24.19000,24.19000,24.09000,24.09000,500,0
01/28/1999,16:00:00,24.03000,24.19000,23.94000,24.13000,1900,0
01/29/1999,16:00:00,24.22000,24.41000,23.94000,24.28000,109200,0
02/01/1999,16:00:00,24.50000,24.50000,24.31000,24.31000,2400,0
02/02/1999,16:00:00,24.16000,24.19000,23.84000,24.13000,20700,0
02/03/1999,16:00:00,24.13000,24.38000,24.13000,24.38000,20100,0
02/04/1999,16:00:00,24.34000,24.41000,24.25000,24.41000,6100,0
02/05/1999,16:00:00,24.48000,24.48000,24.30000,24.33000,4300,0
02/08/1999,16:00:00,24.50000,24.50000,24.14000,24.41000,2900,0
02/09/1999,16:00:00,24.36000,24.36000,24.08000,24.08000,4100,0
02/10/1999,16:00:00,24.17000,24.17000,24.05000,24.17000,5400,0
02/11/1999,16:00:00,24.33000,24.50000,24.33000,24.50000,3500,0
02/12/1999,16:00:00,24.39000,24.39000,24.31000,24.36000,2600,0
02/16/1999,16:00:00,24.52000,24.53000,24.47000,24.48000,3800,0
02/17/1999,16:00:00,24.28000,24.75000,24.28000,24.48000,5400,0
02/18/1999,16:00:00,24.33000,24.53000,24.27000,24.48000,4300,0
02/19/1999,16:00:00,24.38000,24.67000,24.38000,24.64000,2800,0
02/22/1999,16:00:00,24.66000,25.02000,24.66000,25.02000,6400,0
02/23/1999,16:00:00,24.94000,25.05000,24.86000,25.00000,5400,0
02/24/1999,16:00:00,25.16000,25.17000,24.88000,24.94000,5300,0
02/25/1999,16:00:00,24.58000,24.58000,24.28000,24.44000,3200,0
02/26/1999,16:00:00,24.56000,24.66000,24.38000,24.52000,3400,0
