Date,Time,Open,High,Low,Close,Vol,OI
02/08/1999,16:00:00,35.75000,36.50000,35.13000,35.91000,1098200,0
02/09/1999,16:00:00,36.00000,36.03000,34.31000,34.50000,1957100,0
02/10/1999,16:00:00,34.66000,35.41000,34.25000,34.75000,1243000,0
02/11/1999,16:00:00,35.38000,36.28000,35.03000,36.22000,2473800,0
02/12/1999,16:00:00,35.38000,35.78000,34.59000,34.78000,2636900,0
02/16/1999,16:00:00,35.75000,35.81000,34.50000,34.63000,1536000,0
02/17/1999,16:00:00,33.75000,34.97000,33.56000,33.84000,2590300,0
02/18/1999,16:00:00,34.31000,34.41000,33.34000,34.03000,1817700,0
02/19/1999,16:00:00,34.63000,34.88000,34.16000,34.34000,1540800,0
02/22/1999,16:00:00,34.59000,35.66000,34.34000,35.56000,2168400,0
02/23/1999,16:00:00,36.00000,36.47000,35.56000,36.03000,1780300,0
02/24/1999,16:00:00,36.38000,36.44000,35.03000,35.03000,2313000,0
02/25/1999,16:00:00,34.38000,35.13000,34.13000,35.13000,2342700,0
02/26/1999,16:00:00,35.06000,35.13000,33.75000,34.06000,2133500,0
03/01/1999,16:00:00,33.63000,34.19000,33.44000,33.91000,905100,0
03/02/1999,16:00:00,34.19000,34.50000,33.00000,33.00000,2274700,0
03/03/1999,16:00:00,33.50000,33.72000,32.88000,33.56000,1362200,0
03/04/1999,16:00:00,34.38000,34.47000,33.13000,33.91000,2920900,0
03/05/1999,16:00:00,34.88000,35.00000,34.27000,34.69000,1564100,0
03/08/1999,16:00:00,35.50000,35.75000,35.03000,35.69000,1416500,0
03/09/1999,16:00:00,35.50000,36.19000,35.19000,35.31000,670100,0
03/10/1999,16:00:00,35.31000,35.53000,34.89000,35.31000,343900,0
03/11/1999,16:00:00,35.50000,35.97000,34.91000,35.25000,886200,0
03/12/1999,16:00:00,35.56000,35.56000,34.56000,34.94000,745900,0
03/15/1999,16:00:00,35.19000,35.50000,34.64000,35.50000,322300,0
03/16/1999,16:00:00,35.53000,36.25000,35.41000,36.11000,583800,0
03/17/1999,16:00:00,36.09000,36.13000,35.56000,35.88000,311000,0
03/18/1999,16:00:00,35.75000,36.41000,35.63000,36.38000,195200,0
03/19/1999,16:00:00,36.69000,36.88000,35.50000,35.50000,508100,0
03/22/1999,16:00:00,35.50000,35.84000,35.19000,35.50000,708700,0
03/23/1999,16:00:00,35.25000,35.25000,34.22000,34.47000,1375200,0
03/24/1999,16:00:00,34.69000,35.30000,34.09000,35.14000,497900,0
03/25/1999,16:00:00,35.84000,36.09000,35.56000,35.97000,505300,0
03/26/1999,16:00:00,35.81000,36.38000,35.59000,35.78000,309800,0
03/29/1999,16:00:00,36.25000,37.19000,36.16000,37.13000,848200,0
03/30/1999,16:00:00,36.94000,37.50000,36.75000,37.06000,743600,0
03/31/1999,16:00:00,37.50000,37.81000,36.53000,36.59000,661400,0
04/01/1999,16:00:00,37.50000,37.53000,36.50000,37.17000,269700,0
