Date,Time,Open,High,Low,Close,Vol,OI
01/05/1999,16:00:00,27.38000,27.38000,27.03000,27.13000,27900,0
01/06/1999,16:00:00,27.31000,27.47000,27.16000,27.47000,118500,0
01/07/1999,16:00:00,27.25000,27.25000,26.94000,27.16000,43500,0
01/08/1999,16:00:00,27.16000,27.16000,26.63000,27.03000,63800,0
01/11/1999,16:00:00,26.97000,26.97000,26.31000,26.50000,65400,0
01/12/1999,16:00:00,26.47000,26.56000,26.25000,26.28000,29400,0
01/13/1999,16:00:00,25.53000,26.47000,25.53000,26.34000,73600,0
01/14/1999,16:00:00,26.22000,26.31000,25.47000,25.84000,30800,0
01/15/1999,16:00:00,26.25000,26.25000,25.81000,26.13000,39000,0
01/19/1999,16:00:00,26.31000,26.31000,25.66000,25.81000,39200,0
01/20/1999,16:00:00,25.97000,26.19000,25.78000,25.91000,480300,0
01/21/1999,16:00:00,25.78000,25.94000,25.34000,25.50000,42500,0
01/22/1999,16:00:00,25.34000,25.66000,25.22000,25.38000,75700,0
01/25/1999,16:00:00,25.38000,25.47000,25.09000,25.31000,179000,0
01/26/1999,16:00:00,25.34000,25.91000,25.28000,25.91000,85000,0
01/27/1999,16:00:00,26.16000,26.41000,26.09000,26.25000,50400,0
01/28/1999,16:00:00,26.28000,26.78000,26.25000,26.72000,57300,0
01/29/1999,16:00:00,26.81000,26.97000,26.44000,26.78000,167800,0
02/01/1999,16:00:00,26.97000,27.06000,26.66000,26.69000,57200,0
02/02/1999,16:00:00,26.78000,26.91000,26.53000,26.91000,81800,0
02/03/1999,16:00:00,26.78000,26.91000,26.53000,26.81000,65300,0
02/04/1999,16:00:00,26.69000,26.91000,26.56000,26.69000,34400,0
02/05/1999,16:00:00,26.69000,26.69000,26.25000,26.28000,28100,0
02/08/1999,16:00:00,26.22000,26.38000,26.02000,26.23000,81500,0
02/09/1999,16:00:00,26.17000,26.17000,25.72000,25.77000,42300,0
02/10/1999,16:00:00,25.89000,25.95000,25.63000,25.95000,30200,0
