Date,Time,Open,High,Low,Close,Vol,OI
10/09/2015,16:00:00,30.20000,30.20000,30.06000,30.16000,4335,0
10/12/2015,16:00:00,30.42000,30.42000,30.27000,30.35000,2250,0
10/13/2015,16:00:00,30.16000,30.16000,30.16000,30.16000,508,0
10/15/2015,16:00:00,30.03000,30.07000,30.03000,30.07000,2515,0
10/16/2015,16:00:00,30.60000,30.66000,30.60000,30.64000,400,0
10/19/2015,16:00:00,30.70000,31.01000,30.70000,31.00000,2001,0
10/20/2015,16:00:00,31.36000,31.36000,30.99000,31.03000,3240,0
10/21/2015,16:00:00,31.06000,31.06000,31.06000,31.06000,400,0
10/22/2015,16:00:00,31.18000,31.46000,31.18000,31.45000,2180,0
10/23/2015,16:00:00,31.05000,31.07000,30.94000,31.07000,3548,0
10/26/2015,16:00:00,31.03000,31.12000,31.03000,31.11000,576,0
10/27/2015,16:00:00,31.06000,31.12000,31.00000,31.12000,3350,0
10/28/2015,16:00:00,31.24000,31.33000,31.01000,31.01000,3210,0
10/29/2015,16:00:00,31.03000,31.15000,31.01000,31.15000,3906,0
10/30/2015,16:00:00,30.95000,30.95000,30.95000,30.95000,211,0
11/03/2015,16:00:00,31.60000,31.60000,31.32000,31.35000,520,0
11/04/2015,16:00:00,31.52000,31.52000,31.22000,31.22000,1850,0
11/05/2015,16:00:00,31.28000,31.28000,30.95000,31.10000,23810,0
11/06/2015,16:00:00,30.38000,30.38000,29.95000,29.95000,9031,0
11/09/2015,16:00:00,30.06000,30.10000,29.60000,29.71000,45453,0
11/10/2015,16:00:00,30.11000,30.11000,29.85000,30.03000,27240,0
11/11/2015,16:00:00,30.11000,30.26000,29.99000,30.13000,27147,0
11/12/2015,16:00:00,29.86000,30.08000,29.86000,29.95000,63887,0
11/13/2015,16:00:00,29.82000,29.87000,29.56000,29.56000,47674,0
11/16/2015,16:00:00,29.53000,29.62000,29.53000,29.53000,4200,0
11/17/2015,16:00:00,30.00000,30.18000,29.93000,29.99000,25680,0
11/18/2015,16:00:00,29.64000,30.34000,26.70000,30.34000,28556,0
11/19/2015,16:00:00,30.41000,30.55000,30.41000,30.51000,3517,0
11/20/2015,16:00:00,30.71000,30.77000,30.71000,30.76000,597,0
11/23/2015,16:00:00,30.97000,31.01000,30.92000,30.92000,2392,0
11/24/2015,16:00:00,31.02000,31.02000,30.45000,30.45000,2524,0
11/30/2015,16:00:00,31.00000,31.00000,30.72000,30.75000,1627,0
12/01/2015,16:00:00,30.98000,31.26000,30.98000,31.26000,5557,0
12/02/2015,16:00:00,31.11000,31.22000,30.62000,30.62000,4397,0
12/03/2015,16:00:00,30.37000,30.37000,30.01000,30.01000,776,0
12/04/2015,16:00:00,30.31000,30.83000,30.31000,30.62000,4378,0
12/08/2015,16:00:00,30.28000,30.76000,29.92000,30.72000,4645,0
12/09/2015,16:00:00,30.51000,30.55000,30.51000,30.55000,643,0
12/10/2015,16:00:00,30.30000,30.30000,30.30000,30.30000,660,0
12/11/2015,16:00:00,30.18000,30.18000,30.14000,30.14000,330,0
12/14/2015,16:00:00,30.10000,30.27000,30.09000,30.23000,628,0
12/15/2015,16:00:00,30.72000,30.79000,30.58000,30.58000,4147,0
12/16/2015,16:00:00,30.86000,31.13000,30.86000,31.13000,1618,0
12/17/2015,16:00:00,31.46000,31.46000,31.06000,31.09000,2420,0
12/18/2015,16:00:00,30.56000,30.59000,30.35000,30.35000,1372,0
12/21/2015,16:00:00,30.46000,30.46000,30.40000,30.40000,485,0
12/22/2015,16:00:00,30.68000,30.68000,30.68000,30.68000,201,0
12/23/2015,16:00:00,30.75000,30.98000,30.75000,30.98000,4493,0
12/24/2015,16:00:00,30.86000,31.01000,30.86000,31.01000,330,0
12/28/2015,16:00:00,31.03000,31.03000,30.92000,30.93000,2126,0
12/29/2015,16:00:00,31.25000,31.49000,31.25000,31.44000,3457,0
12/30/2015,16:00:00,31.57000,31.59000,31.44000,31.44000,2037,0
12/31/2015,16:00:00,31.32000,31.39000,31.18000,31.18000,36795,0
01/04/2016,16:00:00,30.98000,30.98000,30.36000,30.46000,1937,0
01/05/2016,16:00:00,30.93000,31.38000,30.93000,31.38000,1518,0
01/06/2016,16:00:00,30.82000,31.18000,30.82000,31.08000,3724,0
01/07/2016,16:00:00,30.72000,30.75000,30.51000,30.51000,1547,0
01/08/2016,16:00:00,30.51000,30.52000,30.08000,30.11000,3993,0
01/11/2016,16:00:00,30.29000,30.29000,30.29000,30.29000,477,0
01/12/2016,16:00:00,30.04000,30.11000,29.96000,29.96000,2269,0
01/13/2016,16:00:00,30.24000,30.29000,29.65000,29.65000,3338,0
01/14/2016,16:00:00,29.83000,29.83000,29.50000,29.75000,3706,0
01/15/2016,16:00:00,29.15000,29.30000,29.15000,29.25000,1414,0
01/19/2016,16:00:00,29.51000,29.51000,29.36000,29.45000,4705,0
01/20/2016,16:00:00,28.66000,28.89000,28.12000,28.66000,4609,0
01/21/2016,16:00:00,28.88000,28.88000,28.88000,28.88000,101,0
01/22/2016,16:00:00,29.47000,29.48000,29.46000,29.48000,330,0
01/26/2016,16:00:00,29.59000,29.86000,29.59000,29.74000,529,0
01/27/2016,16:00:00,29.48000,29.48000,29.48000,29.48000,930,0
01/28/2016,16:00:00,29.48000,29.49000,29.16000,29.16000,1652,0
01/29/2016,16:00:00,29.01000,29.20000,29.01000,29.19000,553,0
02/01/2016,16:00:00,29.61000,29.81000,29.61000,29.81000,744,0
02/02/2016,16:00:00,29.68000,29.68000,29.43000,29.43000,1094,0
02/03/2016,16:00:00,29.68000,29.68000,29.05000,29.46000,3781,0
02/04/2016,16:00:00,29.44000,29.65000,29.44000,29.64000,1506,0
02/05/2016,16:00:00,29.21000,29.21000,29.10000,29.10000,221,0
02/08/2016,16:00:00,28.10000,28.10000,27.56000,27.56000,718,0
02/09/2016,16:00:00,27.42000,27.55000,27.07000,27.34000,1359,0
02/10/2016,16:00:00,27.92000,27.92000,27.92000,27.92000,293,0
02/11/2016,16:00:00,27.30000,27.30000,27.22000,27.22000,810,0
02/12/2016,16:00:00,27.22000,27.51000,27.22000,27.49000,1823,0
02/17/2016,16:00:00,28.40000,28.45000,28.33000,28.35000,2640,0
02/18/2016,16:00:00,28.48000,28.70000,28.48000,28.70000,3898,0
02/19/2016,16:00:00,28.66000,28.66000,28.66000,28.66000,200,0
02/22/2016,16:00:00,29.10000,29.16000,29.08000,29.10000,827,0
02/23/2016,16:00:00,28.95000,28.95000,28.95000,28.95000,328,0
02/24/2016,16:00:00,28.92000,28.97000,28.91000,28.97000,751,0
02/25/2016,16:00:00,29.16000,29.16000,29.16000,29.16000,125,0
02/26/2016,16:00:00,29.50000,29.51000,29.37000,29.37000,2504,0
02/29/2016,16:00:00,29.63000,29.65000,29.33000,29.33000,732,0
03/01/2016,16:00:00,29.80000,30.04000,29.79000,30.03000,951,0
03/02/2016,16:00:00,30.23000,30.36000,30.19000,30.36000,1305,0
03/03/2016,16:00:00,30.36000,30.42000,30.36000,30.40000,1080,0
03/04/2016,16:00:00,30.50000,30.53000,30.44000,30.49000,1703,0
03/07/2016,16:00:00,30.61000,30.63000,30.47000,30.47000,1542,0
03/08/2016,16:00:00,30.45000,30.45000,30.42000,30.42000,611,0
03/09/2016,16:00:00,30.45000,30.52000,30.25000,30.33000,3688,0
03/10/2016,16:00:00,30.65000,30.65000,30.19000,30.19000,1001,0
03/11/2016,16:00:00,30.78000,30.89000,30.78000,30.89000,410,0
03/14/2016,16:00:00,31.04000,31.10000,30.99000,30.99000,3010,0
03/15/2016,16:00:00,31.00000,31.20000,31.00000,31.20000,2258,0
03/16/2016,16:00:00,31.20000,31.21000,30.96000,30.96000,1537,0
03/17/2016,16:00:00,31.99000,32.05000,31.98000,32.00000,1050,0
03/18/2016,16:00:00,31.69000,31.78000,31.43000,31.47000,136356,0
03/21/2016,16:00:00,31.62000,31.62000,31.26000,31.31000,3413,0
03/22/2016,16:00:00,31.22000,31.41000,31.21000,31.26000,1576,0
03/23/2016,16:00:00,31.27000,31.34000,31.14000,31.14000,2642,0
03/24/2016,16:00:00,31.01000,31.19000,30.98000,31.19000,2197,0
03/28/2016,16:00:00,31.01000,31.47000,31.01000,31.39000,2583,0
03/29/2016,16:00:00,31.72000,32.07000,31.51000,32.07000,17268,0
03/30/2016,16:00:00,32.33000,32.33000,32.00000,32.00000,4165,0
03/31/2016,16:00:00,32.00000,32.16000,32.00000,32.16000,11342,0
04/01/2016,16:00:00,32.02000,32.23000,32.02000,32.23000,658,0
04/04/2016,16:00:00,32.27000,32.27000,32.10000,32.18000,5325,0
04/05/2016,16:00:00,31.90000,31.90000,31.88000,31.89000,310,0
04/06/2016,16:00:00,31.93000,31.98000,31.85000,31.98000,588,0
04/07/2016,16:00:00,32.03000,32.03000,31.72000,31.72000,2124,0
04/08/2016,16:00:00,32.19000,32.25000,32.02000,32.02000,1897,0
04/11/2016,16:00:00,32.06000,32.20000,31.99000,32.00000,3141,0
04/12/2016,16:00:00,32.09000,32.19000,32.09000,32.14000,1322,0
04/13/2016,16:00:00,32.14000,32.16000,31.95000,32.02000,2847,0
04/14/2016,16:00:00,31.97000,31.97000,31.84000,31.89000,3616,0
04/15/2016,16:00:00,31.89000,32.11000,31.89000,32.11000,731,0
04/18/2016,16:00:00,32.13000,32.23000,31.85000,32.23000,959,0
04/19/2016,16:00:00,32.41000,32.41000,32.04000,32.12000,32759,0
04/20/2016,16:00:00,32.01000,32.02000,31.76000,31.80000,1880,0
04/21/2016,16:00:00,31.63000,31.66000,31.01000,31.06000,1293,0
04/22/2016,16:00:00,31.39000,31.60000,31.32000,31.46000,2431,0
04/25/2016,16:00:00,31.51000,31.68000,31.51000,31.68000,2284,0
