Date,Time,Open,High,Low,Close,Vol,OI
01/05/1999,16:00:00,29.97000,30.09000,29.84000,30.09000,111200,0
01/06/1999,16:00:00,30.19000,30.50000,30.19000,30.41000,41000,0
01/07/1999,16:00:00,30.41000,30.72000,30.25000,30.31000,222300,0
01/08/1999,16:00:00,30.41000,30.50000,30.09000,30.47000,135900,0
01/11/1999,16:00:00,30.31000,30.31000,29.56000,29.66000,129000,0
01/12/1999,16:00:00,29.63000,30.13000,29.53000,29.69000,7100,0
01/13/1999,16:00:00,29.50000,30.09000,29.50000,29.88000,25900,0
01/14/1999,16:00:00,29.47000,29.75000,29.25000,29.38000,20000,0
01/15/1999,16:00:00,29.44000,29.78000,29.41000,29.53000,6900,0
01/19/1999,16:00:00,30.44000,30.53000,30.00000,30.53000,12200,0
01/20/1999,16:00:00,30.56000,30.72000,30.28000,30.41000,32700,0
01/21/1999,16:00:00,30.63000,30.63000,30.28000,30.28000,20500,0
01/22/1999,16:00:00,30.09000,30.72000,29.97000,30.50000,20800,0
01/25/1999,16:00:00,30.50000,30.50000,29.34000,29.34000,13600,0
01/26/1999,16:00:00,29.69000,29.94000,29.22000,29.94000,15200,0
01/27/1999,16:00:00,29.84000,29.84000,29.47000,29.47000,7800,0
01/28/1999,16:00:00,29.56000,29.94000,29.53000,29.53000,17600,0
01/29/1999,16:00:00,29.53000,29.66000,29.19000,29.47000,39800,0
02/01/1999,16:00:00,29.66000,29.66000,29.25000,29.41000,12200,0
02/02/1999,16:00:00,29.03000,29.09000,28.66000,29.03000,27700,0
02/03/1999,16:00:00,28.88000,29.22000,28.88000,29.19000,32500,0
02/04/1999,16:00:00,29.13000,29.13000,28.75000,28.75000,18200,0
02/05/1999,16:00:00,28.86000,29.02000,28.77000,28.77000,5900,0
02/08/1999,16:00:00,28.78000,28.97000,28.72000,28.77000,13300,0
02/09/1999,16:00:00,28.83000,29.16000,28.77000,28.89000,9400,0
02/10/1999,16:00:00,28.89000,28.98000,28.67000,28.69000,8000,0
02/11/1999,16:00:00,28.77000,28.97000,28.67000,28.81000,4400,0
02/12/1999,16:00:00,28.95000,28.95000,28.22000,28.34000,103000,0
02/16/1999,16:00:00,28.72000,28.86000,28.64000,28.86000,59200,0
02/17/1999,16:00:00,28.78000,29.25000,28.66000,28.66000,57400,0
02/18/1999,16:00:00,28.78000,29.56000,28.66000,29.17000,13500,0
02/19/1999,16:00:00,29.02000,29.16000,28.75000,28.86000,9600,0
02/22/1999,16:00:00,28.97000,29.80000,28.97000,29.80000,6000,0
02/23/1999,16:00:00,29.53000,29.53000,28.75000,28.86000,14800,0
02/24/1999,16:00:00,28.95000,29.56000,28.95000,29.13000,65400,0
02/25/1999,16:00:00,28.94000,28.97000,28.38000,28.50000,22300,0
02/26/1999,16:00:00,28.70000,28.70000,28.27000,28.67000,11400,0
03/01/1999,16:00:00,28.44000,28.44000,28.08000,28.25000,8300,0
03/02/1999,16:00:00,28.44000,28.52000,27.83000,27.83000,8900,0
03/03/1999,16:00:00,27.84000,28.02000,27.84000,27.84000,4500,0
03/04/1999,16:00:00,28.08000,28.28000,28.00000,28.28000,5500,0
03/05/1999,16:00:00,28.75000,28.81000,28.42000,28.77000,18800,0
03/08/1999,16:00:00,28.64000,28.64000,28.30000,28.44000,35300,0
03/09/1999,16:00:00,28.47000,28.58000,28.19000,28.36000,5300,0
03/10/1999,16:00:00,28.23000,28.38000,28.17000,28.27000,30900,0
03/11/1999,16:00:00,28.30000,28.66000,28.22000,28.48000,8900,0
03/12/1999,16:00:00,28.89000,28.92000,28.66000,28.80000,6900,0
03/15/1999,16:00:00,28.92000,29.00000,28.75000,28.88000,15400,0
03/16/1999,16:00:00,28.78000,28.92000,28.61000,28.77000,9900,0
03/17/1999,16:00:00,28.83000,28.89000,28.50000,28.50000,11900,0
03/18/1999,16:00:00,28.44000,28.92000,28.44000,28.92000,10800,0
03/19/1999,16:00:00,28.59000,28.75000,28.20000,28.20000,50100,0
03/22/1999,16:00:00,28.20000,28.53000,28.20000,28.30000,38000,0
03/23/1999,16:00:00,28.05000,28.05000,27.23000,27.41000,33100,0
03/24/1999,16:00:00,27.59000,27.91000,27.25000,27.78000,22500,0
03/25/1999,16:00:00,27.80000,27.80000,27.53000,27.69000,7400,0
03/26/1999,16:00:00,27.27000,27.39000,27.16000,27.33000,9500,0
03/29/1999,16:00:00,27.39000,27.55000,27.19000,27.19000,14300,0
03/30/1999,16:00:00,26.94000,27.08000,26.75000,26.75000,11300,0
03/31/1999,16:00:00,26.94000,26.98000,26.69000,26.69000,18500,0
04/01/1999,16:00:00,26.80000,27.25000,26.80000,27.25000,10900,0
04/05/1999,16:00:00,27.33000,27.58000,27.19000,27.47000,7900,0
04/06/1999,16:00:00,27.50000,27.63000,27.30000,27.33000,38200,0
04/07/1999,16:00:00,27.56000,27.75000,27.44000,27.69000,26300,0
04/08/1999,16:00:00,27.78000,28.53000,27.78000,28.42000,43000,0
04/09/1999,16:00:00,28.47000,28.47000,28.16000,28.22000,16800,0
04/12/1999,16:00:00,28.25000,28.67000,28.16000,28.63000,8800,0
