Date,Time,Open,High,Low,Close,Vol,OI
01/05/1999,16:00:00,25.20000,25.54000,25.20000,25.54000,4400,0
01/06/1999,16:00:00,25.73000,25.98000,25.67000,25.98000,38500,0
01/07/1999,16:00:00,25.73000,25.89000,25.54000,25.85000,15900,0
01/08/1999,16:00:00,25.92000,26.17000,25.92000,26.17000,24400,0
01/11/1999,16:00:00,26.17000,26.45000,26.01000,26.23000,7700,0
01/12/1999,16:00:00,26.32000,26.45000,26.10000,26.14000,270700,0
01/13/1999,16:00:00,24.98000,26.07000,24.98000,25.89000,7100,0
01/14/1999,16:00:00,25.98000,26.04000,25.57000,25.67000,12200,0
01/15/1999,16:00:00,25.76000,26.10000,25.76000,26.01000,7700,0
01/19/1999,16:00:00,26.48000,26.85000,25.45000,26.79000,22700,0
01/20/1999,16:00:00,26.92000,27.32000,26.79000,26.95000,25800,0
01/21/1999,16:00:00,26.89000,26.89000,25.92000,25.98000,23200,0
01/22/1999,16:00:00,25.79000,26.07000,25.60000,25.85000,67100,0
01/25/1999,16:00:00,25.89000,26.10000,25.64000,26.07000,495300,0
01/26/1999,16:00:00,26.14000,26.23000,25.85000,26.23000,187400,0
01/27/1999,16:00:00,26.29000,26.29000,25.95000,25.95000,6800,0
01/28/1999,16:00:00,26.20000,26.54000,26.20000,26.45000,25800,0
01/29/1999,16:00:00,26.48000,26.48000,26.10000,26.45000,13800,0
02/01/1999,16:00:00,26.57000,26.67000,26.35000,26.60000,34000,0
02/02/1999,16:00:00,26.17000,26.23000,25.82000,26.20000,141700,0
02/03/1999,16:00:00,26.14000,26.70000,26.14000,26.70000,38900,0
02/04/1999,16:00:00,26.54000,26.64000,26.32000,26.51000,7400,0
02/05/1999,16:00:00,26.51000,26.51000,26.01000,26.20000,15300,0
02/08/1999,16:00:00,26.32000,26.32000,26.07000,26.18000,6400,0
02/09/1999,16:00:00,26.26000,26.29000,25.70000,25.70000,218600,0
02/10/1999,16:00:00,25.51000,25.76000,25.39000,25.76000,17400,0
02/11/1999,16:00:00,25.67000,26.48000,25.57000,26.48000,5200,0
02/12/1999,16:00:00,26.32000,26.32000,25.92000,26.07000,8000,0
02/16/1999,16:00:00,26.20000,26.51000,26.20000,26.32000,18500,0
02/17/1999,16:00:00,26.26000,26.45000,26.01000,26.04000,12800,0
02/18/1999,16:00:00,26.14000,26.40000,25.96000,26.39000,10700,0
02/19/1999,16:00:00,26.39000,26.57000,26.39000,26.46000,13700,0
02/22/1999,16:00:00,26.57000,27.06000,26.51000,27.04000,16700,0
02/23/1999,16:00:00,27.10000,27.10000,26.70000,27.00000,12900,0
02/24/1999,16:00:00,27.07000,27.18000,26.67000,26.67000,25500,0
02/25/1999,16:00:00,26.54000,26.54000,26.07000,26.40000,97800,0
