Date,Time,Open,High,Low,Close,Vol,OI
01/05/1999,16:00:00,26.13000,26.41000,26.13000,26.41000,1300,0
01/06/1999,16:00:00,26.72000,27.16000,26.72000,27.16000,8100,0
01/07/1999,16:00:00,27.03000,27.31000,27.00000,27.13000,13700,0
01/08/1999,16:00:00,27.28000,27.41000,27.09000,27.16000,18600,0
01/11/1999,16:00:00,27.25000,27.28000,26.78000,27.03000,63100,0
01/12/1999,16:00:00,26.59000,26.69000,26.28000,26.31000,3300,0
01/13/1999,16:00:00,25.69000,26.44000,25.69000,26.44000,3400,0
01/14/1999,16:00:00,26.19000,26.31000,25.72000,25.84000,36600,0
01/15/1999,16:00:00,26.19000,26.19000,26.03000,26.16000,34800,0
01/19/1999,16:00:00,26.47000,26.56000,26.16000,26.16000,4100,0
01/20/1999,16:00:00,26.53000,26.84000,26.41000,26.59000,3500,0
01/21/1999,16:00:00,26.53000,26.56000,26.28000,26.34000,31500,0
01/22/1999,16:00:00,25.94000,26.53000,25.88000,26.47000,12300,0
01/25/1999,16:00:00,26.34000,26.47000,26.22000,26.41000,8100,0
01/26/1999,16:00:00,26.56000,27.03000,26.47000,27.03000,3700,0
01/27/1999,16:00:00,27.06000,27.13000,27.00000,27.00000,1900,0
01/28/1999,16:00:00,27.06000,27.28000,27.06000,27.28000,4300,0
01/29/1999,16:00:00,27.38000,27.56000,27.19000,27.47000,6800,0
02/01/1999,16:00:00,27.59000,27.59000,27.44000,27.53000,6100,0
02/02/1999,16:00:00,27.31000,27.31000,26.94000,27.19000,20900,0
02/03/1999,16:00:00,27.13000,27.66000,27.09000,27.63000,23100,0
02/04/1999,16:00:00,27.78000,27.81000,27.44000,27.47000,19500,0
02/05/1999,16:00:00,27.19000,27.36000,26.78000,26.78000,5200,0
02/08/1999,16:00:00,27.02000,27.22000,26.67000,27.22000,6900,0
02/09/1999,16:00:00,26.88000,26.91000,26.38000,26.38000,8900,0
02/10/1999,16:00:00,26.34000,26.53000,26.22000,26.38000,7200,0
02/11/1999,16:00:00,26.53000,27.27000,26.45000,27.23000,8100,0
02/12/1999,16:00:00,26.88000,26.91000,26.58000,26.75000,5500,0
02/16/1999,16:00:00,26.98000,27.25000,26.97000,27.09000,9200,0
02/17/1999,16:00:00,27.16000,27.55000,27.00000,27.00000,14300,0
02/18/1999,16:00:00,27.00000,27.03000,26.77000,27.03000,3500,0
02/19/1999,16:00:00,27.06000,27.17000,26.98000,27.17000,900,0
02/22/1999,16:00:00,27.25000,27.86000,27.25000,27.86000,13700,0
02/23/1999,16:00:00,27.88000,27.91000,27.50000,27.72000,5100,0
02/24/1999,16:00:00,27.91000,28.09000,27.38000,27.38000,7500,0
02/25/1999,16:00:00,27.31000,27.34000,26.66000,27.06000,15700,0
02/26/1999,16:00:00,27.03000,27.41000,27.03000,27.30000,8000,0
03/01/1999,16:00:00,27.22000,27.31000,27.06000,27.31000,6300,0
03/02/1999,16:00:00,27.38000,27.70000,27.38000,27.38000,17300,0
03/03/1999,16:00:00,27.41000,27.45000,27.23000,27.23000,1000,0
03/04/1999,16:00:00,27.84000,27.91000,27.56000,27.81000,4000,0
03/05/1999,16:00:00,28.44000,28.84000,28.44000,28.66000,15900,0
03/08/1999,16:00:00,28.88000,28.88000,28.41000,28.78000,10600,0
03/09/1999,16:00:00,28.72000,29.03000,28.64000,28.86000,11000,0
03/10/1999,16:00:00,28.88000,28.92000,28.72000,28.78000,5200,0
03/11/1999,16:00:00,29.00000,29.27000,28.92000,29.09000,9100,0
03/12/1999,16:00:00,29.41000,29.56000,28.50000,29.22000,10300,0
03/15/1999,16:00:00,29.19000,29.30000,29.00000,29.28000,5900,0
03/16/1999,16:00:00,29.47000,29.47000,29.00000,29.13000,5000,0
03/17/1999,16:00:00,29.09000,29.09000,28.72000,29.00000,5500,0
03/18/1999,16:00:00,28.81000,29.50000,28.81000,29.50000,4500,0
03/19/1999,16:00:00,29.47000,29.47000,29.06000,29.06000,8200,0
03/22/1999,16:00:00,29.00000,29.00000,28.63000,28.75000,17100,0
03/23/1999,16:00:00,28.53000,28.53000,27.81000,27.88000,8800,0
03/24/1999,16:00:00,28.00000,28.00000,27.59000,27.66000,12200,0
03/25/1999,16:00:00,28.09000,28.50000,27.94000,28.50000,10200,0
03/26/1999,16:00:00,28.44000,28.56000,28.19000,28.31000,6000,0
03/29/1999,16:00:00,28.80000,29.00000,28.73000,29.00000,4300,0
03/30/1999,16:00:00,28.88000,29.09000,28.78000,29.03000,36000,0
03/31/1999,16:00:00,29.19000,29.22000,28.59000,28.59000,14200,0
04/01/1999,16:00:00,28.75000,28.75000,28.39000,28.56000,4100,0
04/05/1999,16:00:00,28.75000,29.03000,28.66000,28.94000,8100,0
04/06/1999,16:00:00,29.05000,29.28000,28.94000,29.09000,8800,0
04/07/1999,16:00:00,29.33000,29.41000,29.25000,29.34000,11700,0
04/08/1999,16:00:00,29.44000,30.00000,29.44000,30.00000,20700,0
04/09/1999,16:00:00,29.88000,30.33000,29.88000,30.28000,49900,0
04/12/1999,16:00:00,29.81000,30.66000,29.81000,30.53000,20100,0
04/13/1999,16:00:00,30.63000,30.66000,30.22000,30.38000,32100,0
04/14/1999,16:00:00,30.38000,30.44000,29.69000,29.69000,31900,0
04/15/1999,16:00:00,29.88000,29.94000,29.19000,29.63000,25800,0
04/16/1999,16:00:00,29.63000,29.75000,29.41000,29.72000,9500,0
04/19/1999,16:00:00,30.19000,30.56000,28.97000,29.06000,29400,0
04/20/1999,16:00:00,29.25000,29.56000,29.16000,29.44000,15100,0
04/21/1999,16:00:00,29.63000,29.94000,29.47000,29.94000,33400,0
04/22/1999,16:00:00,30.09000,30.31000,29.88000,30.02000,34800,0
04/23/1999,16:00:00,30.13000,30.41000,30.13000,30.34000,1800,0
04/26/1999,16:00:00,30.47000,30.50000,30.16000,30.16000,91200,0
04/27/1999,16:00:00,30.34000,30.38000,30.13000,30.23000,4100,0
05/03/1999,16:00:00,29.41000,30.09000,29.31000,30.06000,90600,0
05/04/1999,16:00:00,30.41000,30.44000,29.53000,29.72000,191400,0
05/05/1999,16:00:00,29.78000,29.78000,29.00000,29.47000,49700,0
05/06/1999,16:00:00,29.19000,29.31000,28.81000,28.81000,12000,0
05/07/1999,16:00:00,29.16000,29.47000,29.13000,29.47000,25600,0
05/10/1999,16:00:00,29.56000,29.91000,29.25000,29.44000,19100,0
05/11/1999,16:00:00,29.72000,30.22000,29.72000,30.03000,31100,0
05/12/1999,16:00:00,30.06000,30.22000,29.69000,30.22000,12500,0
05/13/1999,16:00:00,30.41000,30.41000,29.88000,30.06000,13600,0
05/14/1999,16:00:00,29.38000,29.63000,29.34000,29.47000,10200,0
05/17/1999,16:00:00,29.00000,29.16000,28.56000,28.88000,10400,0
05/18/1999,16:00:00,29.09000,29.53000,29.06000,29.06000,5100,0
05/19/1999,16:00:00,29.34000,29.34000,28.72000,28.72000,700,0
05/20/1999,16:00:00,29.13000,29.19000,28.97000,28.97000,7500,0
05/21/1999,16:00:00,28.94000,28.94000,28.75000,28.78000,5100,0
05/24/1999,16:00:00,28.72000,28.88000,28.16000,28.16000,3600,0
05/25/1999,16:00:00,28.56000,28.59000,27.88000,27.88000,7000,0
05/26/1999,16:00:00,28.16000,28.19000,27.81000,28.19000,5100,0
05/27/1999,16:00:00,28.00000,28.03000,27.58000,27.58000,13100,0
05/28/1999,16:00:00,27.84000,28.19000,27.84000,28.02000,1100,0
06/01/1999,16:00:00,28.06000,28.19000,27.88000,28.19000,29600,0
06/02/1999,16:00:00,28.50000,28.50000,28.13000,28.13000,2400,0
06/03/1999,16:00:00,28.84000,28.88000,28.66000,28.78000,4200,0
06/04/1999,16:00:00,29.16000,29.16000,28.88000,29.00000,4900,0
06/07/1999,16:00:00,28.88000,29.13000,28.88000,29.08000,2900,0
06/08/1999,16:00:00,28.97000,28.97000,28.64000,28.64000,2500,0
06/09/1999,16:00:00,28.53000,28.59000,28.36000,28.36000,4900,0
06/10/1999,16:00:00,28.22000,28.22000,27.89000,27.95000,7800,0
06/11/1999,16:00:00,28.09000,28.25000,27.77000,27.81000,2600,0
06/14/1999,16:00:00,28.06000,28.13000,27.84000,27.84000,1300,0
06/15/1999,16:00:00,27.88000,27.88000,27.63000,27.66000,4900,0
06/16/1999,16:00:00,28.19000,28.45000,28.16000,28.41000,19800,0
06/17/1999,16:00:00,28.34000,28.41000,28.25000,28.27000,3200,0
06/18/1999,16:00:00,28.19000,28.47000,28.16000,28.44000,5100,0
06/21/1999,16:00:00,28.59000,28.94000,28.59000,28.94000,4700,0
06/22/1999,16:00:00,28.81000,28.88000,28.66000,28.75000,2800,0
06/23/1999,16:00:00,28.56000,28.56000,28.16000,28.34000,5200,0
06/24/1999,16:00:00,28.25000,28.28000,27.88000,28.28000,5600,0
06/25/1999,16:00:00,28.38000,28.38000,28.16000,28.19000,1200,0
06/28/1999,16:00:00,28.28000,28.81000,28.28000,28.73000,2300,0
06/29/1999,16:00:00,28.86000,29.22000,28.86000,29.22000,8200,0
06/30/1999,16:00:00,28.97000,29.72000,28.97000,29.59000,11100,0
07/01/1999,16:00:00,29.56000,29.94000,29.56000,29.94000,2900,0
07/02/1999,16:00:00,29.81000,30.25000,29.81000,30.09000,10900,0
07/06/1999,16:00:00,30.19000,30.58000,30.16000,30.34000,17000,0
07/07/1999,16:00:00,30.22000,30.25000,30.06000,30.06000,20000,0
07/08/1999,16:00:00,29.72000,30.13000,29.72000,29.81000,4200,0
07/09/1999,16:00:00,29.84000,30.00000,29.81000,29.81000,16800,0
07/12/1999,16:00:00,29.84000,29.84000,29.61000,29.63000,4600,0
07/13/1999,16:00:00,29.59000,29.63000,29.34000,29.41000,31200,0
07/14/1999,16:00:00,29.50000,29.63000,29.41000,29.47000,20900,0
07/15/1999,16:00:00,29.84000,29.97000,29.72000,29.86000,108400,0
07/16/1999,16:00:00,29.94000,30.03000,29.81000,30.03000,2800,0
07/19/1999,16:00:00,30.06000,30.06000,29.81000,29.97000,6100,0
07/20/1999,16:00:00,29.75000,29.81000,29.19000,29.22000,21600,0
07/21/1999,16:00:00,29.38000,29.39000,28.91000,28.91000,8800,0
07/22/1999,16:00:00,28.88000,29.00000,28.44000,28.53000,10700,0
07/23/1999,16:00:00,28.53000,28.53000,28.31000,28.31000,1500,0
07/26/1999,16:00:00,28.16000,28.66000,28.16000,28.47000,30200,0
07/27/1999,16:00:00,28.75000,28.75000,28.41000,28.63000,26000,0
07/28/1999,16:00:00,28.44000,28.66000,28.31000,28.53000,2400,0
07/29/1999,16:00:00,28.31000,28.31000,27.69000,28.09000,7100,0
07/30/1999,16:00:00,27.84000,27.84000,27.44000,27.56000,15200,0
08/02/1999,16:00:00,27.66000,27.84000,27.36000,27.36000,157800,0
08/03/1999,16:00:00,27.56000,27.56000,27.00000,27.02000,10700,0
08/04/1999,16:00:00,27.09000,27.09000,26.47000,26.47000,3800,0
08/05/1999,16:00:00,26.28000,26.28000,25.81000,26.23000,49400,0
08/06/1999,16:00:00,26.06000,26.27000,25.84000,26.03000,13000,0
08/09/1999,16:00:00,26.13000,26.13000,25.56000,25.69000,1700,0
08/10/1999,16:00:00,25.55000,25.77000,25.16000,25.69000,6800,0
08/11/1999,16:00:00,26.13000,26.28000,26.13000,26.25000,3000,0
08/12/1999,16:00:00,26.56000,26.78000,26.56000,26.56000,5200,0
08/13/1999,16:00:00,26.88000,27.09000,26.88000,27.09000,8200,0
08/16/1999,16:00:00,27.06000,27.47000,26.97000,27.47000,11900,0
08/17/1999,16:00:00,27.69000,27.69000,27.25000,27.41000,24100,0
08/18/1999,16:00:00,27.38000,27.59000,27.31000,27.31000,3900,0
08/19/1999,16:00:00,27.16000,27.16000,26.86000,27.08000,5400,0
08/20/1999,16:00:00,27.34000,27.38000,27.27000,27.38000,2200,0
08/23/1999,16:00:00,27.73000,27.84000,27.67000,27.81000,9100,0
08/24/1999,16:00:00,27.81000,27.97000,27.59000,27.78000,8600,0
08/25/1999,16:00:00,27.63000,28.06000,27.50000,28.06000,3000,0
08/26/1999,16:00:00,28.00000,28.00000,27.47000,27.52000,20100,0
08/27/1999,16:00:00,27.53000,27.53000,27.19000,27.41000,3800,0
08/30/1999,16:00:00,27.19000,27.20000,26.81000,26.81000,6200,0
08/31/1999,16:00:00,26.44000,26.50000,26.09000,26.50000,4300,0
09/01/1999,16:00:00,26.64000,26.69000,26.53000,26.53000,1100,0
09/02/1999,16:00:00,26.00000,26.25000,26.00000,26.22000,22200,0
09/03/1999,16:00:00,26.84000,26.94000,26.66000,26.94000,5000,0
09/07/1999,16:00:00,26.63000,26.81000,26.48000,26.52000,32700,0
09/08/1999,16:00:00,26.23000,26.55000,26.23000,26.38000,6500,0
09/09/1999,16:00:00,26.63000,26.63000,26.38000,26.47000,5600,0
09/10/1999,16:00:00,26.89000,27.05000,26.80000,26.97000,18700,0
09/13/1999,16:00:00,26.84000,26.89000,26.77000,26.89000,1200,0
09/14/1999,16:00:00,26.67000,26.86000,26.67000,26.75000,1600,0
09/15/1999,16:00:00,26.84000,26.94000,26.52000,26.52000,2800,0
09/16/1999,16:00:00,26.08000,26.08000,25.67000,25.95000,11400,0
09/17/1999,16:00:00,26.06000,26.34000,26.06000,26.28000,2000,0
09/20/1999,16:00:00,26.20000,26.30000,26.13000,26.25000,9800,0
09/21/1999,16:00:00,25.89000,25.91000,25.66000,25.66000,6900,0
09/22/1999,16:00:00,25.80000,25.94000,25.75000,25.94000,13300,0
09/23/1999,16:00:00,26.02000,26.08000,24.63000,26.06000,6000,0
09/24/1999,16:00:00,25.59000,25.81000,25.53000,25.53000,6900,0
09/27/1999,16:00:00,25.95000,26.02000,25.84000,25.97000,4100,0
09/28/1999,16:00:00,25.80000,25.89000,25.34000,25.89000,8500,0
09/29/1999,16:00:00,25.73000,25.81000,25.70000,25.70000,1700,0
09/30/1999,16:00:00,25.78000,26.31000,25.78000,26.08000,75900,0
10/01/1999,16:00:00,26.22000,26.34000,26.05000,26.22000,1600,0
10/04/1999,16:00:00,26.56000,27.08000,26.56000,27.06000,6100,0
10/05/1999,16:00:00,27.34000,27.59000,26.86000,27.11000,7900,0
10/06/1999,16:00:00,27.17000,27.59000,26.95000,27.41000,8600,0
10/07/1999,16:00:00,27.50000,27.61000,27.33000,27.33000,3900,0
10/08/1999,16:00:00,27.91000,28.11000,27.78000,28.11000,78400,0
10/11/1999,16:00:00,27.25000,28.39000,27.25000,28.31000,106700,0
10/12/1999,16:00:00,28.00000,28.00000,27.73000,27.73000,14800,0
10/13/1999,16:00:00,27.63000,27.75000,27.41000,27.41000,5200,0
10/14/1999,16:00:00,26.75000,27.11000,26.63000,27.02000,7400,0
10/15/1999,16:00:00,26.50000,26.66000,26.33000,26.33000,5500,0
10/18/1999,16:00:00,26.30000,26.50000,25.91000,26.50000,8700,0
10/19/1999,16:00:00,26.84000,27.16000,26.67000,26.77000,5200,0
10/20/1999,16:00:00,26.73000,27.23000,26.70000,27.23000,47600,0
10/21/1999,16:00:00,26.78000,27.00000,26.73000,27.00000,1500,0
10/22/1999,16:00:00,27.33000,27.80000,27.28000,27.70000,4600,0
10/25/1999,16:00:00,27.16000,27.47000,27.16000,27.22000,2500,0
10/26/1999,16:00:00,27.31000,27.31000,26.30000,26.55000,19100,0
10/27/1999,16:00:00,26.50000,26.63000,26.22000,26.63000,15200,0
10/28/1999,16:00:00,27.13000,27.75000,27.13000,27.63000,11200,0
10/29/1999,16:00:00,28.63000,29.06000,28.39000,28.39000,12300,0
11/01/1999,16:00:00,28.50000,28.63000,28.19000,28.19000,12700,0
11/02/1999,16:00:00,28.05000,28.55000,27.98000,27.98000,3300,0
11/03/1999,16:00:00,28.06000,28.09000,27.75000,27.75000,3100,0
11/04/1999,16:00:00,27.94000,28.13000,27.94000,28.09000,18600,0
