Date,Time,Open,High,Low,Close,Vol,OI
06/23/2006,16:00:00,46.19000,46.25000,45.97000,45.99000,17700,0
06/26/2006,16:00:00,46.48000,46.48000,46.05000,46.31000,4700,0
06/27/2006,16:00:00,46.51000,47.06000,45.97000,45.97000,11900,0
06/28/2006,16:00:00,46.09000,46.34000,45.81000,46.34000,20900,0
06/29/2006,16:00:00,46.18000,49.29000,46.18000,49.29000,125100,0
06/30/2006,16:00:00,49.70000,49.85000,49.00000,49.48000,42500,0
07/03/2006,16:00:00,50.37000,50.85000,50.37000,50.83000,9700,0
07/05/2006,16:00:00,50.08000,50.34000,49.34000,50.00000,16100,0
07/06/2006,16:00:00,50.20000,50.79000,49.97000,50.05000,18200,0
07/07/2006,16:00:00,49.85000,50.18000,49.20000,49.36000,23100,0
07/10/2006,16:00:00,49.34000,49.37000,48.74000,49.08000,11000,0
07/11/2006,16:00:00,49.04000,49.06000,48.34000,49.06000,82600,0
07/12/2006,16:00:00,49.60000,49.92000,48.76000,48.76000,23700,0
07/13/2006,16:00:00,47.83000,47.90000,46.58000,46.63000,67700,0
07/14/2006,16:00:00,46.74000,46.74000,45.60000,46.03000,94100,0
07/17/2006,16:00:00,46.29000,46.29000,45.00000,45.19000,111000,0
07/18/2006,16:00:00,45.90000,45.92000,44.52000,45.16000,84800,0
07/19/2006,16:00:00,45.67000,47.49000,45.67000,47.20000,6700,0
07/20/2006,16:00:00,47.09000,47.09000,44.76000,44.76000,143900,0
07/21/2006,16:00:00,44.70000,44.70000,42.94000,42.99000,12600,0
07/24/2006,16:00:00,43.32000,43.87000,42.68000,43.58000,15800,0
07/25/2006,16:00:00,44.26000,45.34000,44.02000,45.34000,20900,0
07/26/2006,16:00:00,43.98000,44.81000,43.55000,44.81000,28100,0
07/27/2006,16:00:00,45.35000,45.39000,44.00000,44.08000,8700,0
07/31/2006,16:00:00,44.95000,46.25000,44.90000,45.91000,11300,0
08/01/2006,16:00:00,44.91000,45.36000,44.91000,45.36000,19800,0
08/02/2006,16:00:00,45.96000,47.04000,45.96000,46.38000,14200,0
08/03/2006,16:00:00,46.23000,46.48000,46.01000,46.48000,7100,0
08/04/2006,16:00:00,47.00000,47.15000,45.25000,45.30000,53900,0
08/07/2006,16:00:00,45.80000,46.17000,45.61000,45.92000,5500,0
08/08/2006,16:00:00,45.90000,45.90000,44.73000,44.87000,5900,0
08/09/2006,16:00:00,44.35000,45.64000,44.35000,44.84000,56000,0
08/10/2006,16:00:00,44.37000,44.60000,44.07000,44.43000,8600,0
08/11/2006,16:00:00,44.44000,44.44000,43.53000,43.54000,3600,0
08/14/2006,16:00:00,43.30000,43.58000,42.82000,42.82000,44000,0
08/15/2006,16:00:00,43.30000,44.14000,43.18000,43.98000,5400,0
08/16/2006,16:00:00,44.78000,45.45000,44.78000,45.38000,3500,0
08/17/2006,16:00:00,45.30000,45.39000,44.46000,44.66000,12200,0
08/18/2006,16:00:00,45.17000,45.17000,44.52000,45.10000,1700,0
08/21/2006,16:00:00,45.10000,45.63000,45.06000,45.28000,5300,0
08/22/2006,16:00:00,45.25000,45.25000,44.94000,45.01000,7900,0
08/23/2006,16:00:00,45.23000,45.23000,44.23000,44.31000,4700,0
08/24/2006,16:00:00,44.46000,44.46000,43.74000,44.07000,7500,0
08/25/2006,16:00:00,44.63000,44.75000,44.30000,44.46000,14300,0
08/28/2006,16:00:00,44.08000,44.08000,43.82000,43.82000,3000,0
08/29/2006,16:00:00,44.21000,44.23000,43.31000,44.23000,13900,0
08/30/2006,16:00:00,44.35000,44.35000,43.74000,43.89000,5400,0
08/31/2006,16:00:00,44.17000,44.31000,44.12000,44.31000,1200,0
09/01/2006,16:00:00,44.33000,45.20000,44.20000,45.08000,6000,0
09/05/2006,16:00:00,45.37000,46.28000,45.31000,46.22000,9900,0
09/06/2006,16:00:00,46.04000,46.04000,44.89000,44.90000,7500,0
09/07/2006,16:00:00,44.21000,44.21000,43.77000,44.03000,4500,0
09/08/2006,16:00:00,43.73000,43.74000,43.32000,43.39000,5100,0
09/11/2006,16:00:00,41.74000,41.83000,40.75000,40.80000,17600,0
09/12/2006,16:00:00,41.03000,41.77000,40.86000,41.16000,13500,0
09/13/2006,16:00:00,41.43000,42.36000,41.43000,42.36000,8400,0
09/14/2006,16:00:00,42.42000,42.45000,41.10000,41.30000,16000,0
09/15/2006,16:00:00,41.23000,41.63000,41.14000,41.51000,3900,0
09/18/2006,16:00:00,41.84000,42.48000,41.81000,42.19000,3500,0
09/19/2006,16:00:00,42.03000,42.03000,41.00000,41.43000,14400,0
09/20/2006,16:00:00,41.39000,41.85000,40.77000,40.93000,10200,0
09/21/2006,16:00:00,41.52000,41.78000,41.04000,41.04000,2000,0
09/22/2006,16:00:00,40.77000,40.77000,40.07000,40.19000,3500,0
09/25/2006,16:00:00,39.51000,39.77000,38.48000,39.72000,12400,0
09/26/2006,16:00:00,40.01000,41.40000,40.01000,41.40000,12800,0
09/27/2006,16:00:00,41.50000,41.59000,40.93000,41.25000,11600,0
09/28/2006,16:00:00,41.62000,41.65000,41.20000,41.35000,4600,0
09/29/2006,16:00:00,41.53000,41.67000,41.38000,41.38000,1200,0
10/02/2006,16:00:00,41.60000,41.77000,41.33000,41.33000,6000,0
10/03/2006,16:00:00,40.55000,40.55000,39.67000,39.67000,10600,0
10/04/2006,16:00:00,39.90000,39.98000,38.91000,39.96000,4500,0
10/05/2006,16:00:00,41.10000,42.09000,40.90000,42.05000,98800,0
10/06/2006,16:00:00,41.58000,42.22000,41.41000,42.07000,10900,0
10/09/2006,16:00:00,42.56000,43.40000,42.46000,42.61000,15100,0
10/10/2006,16:00:00,42.40000,43.77000,42.40000,43.65000,11600,0
10/11/2006,16:00:00,43.50000,43.95000,43.18000,43.40000,11800,0
10/12/2006,16:00:00,43.60000,44.80000,43.60000,44.78000,18600,0
10/13/2006,16:00:00,44.70000,45.49000,44.70000,45.20000,25700,0
10/16/2006,16:00:00,45.90000,46.30000,45.68000,46.27000,24000,0
10/17/2006,16:00:00,45.78000,46.03000,45.10000,45.95000,14300,0
