Date,Time,Open,High,Low,Close,Vol,OI
04/03/2002,17:00:00,11977.00000,11977.00000,11977.00000,11977.00000,0,0
04/04/2002,17:00:00,11897.00000,11897.00000,11897.00000,11897.00000,0,0
04/05/2002,17:00:00,11910.00000,12004.00000,11886.00000,11954.00000,2339,207
04/08/2002,17:00:00,11942.00000,11944.00000,11769.00000,11931.00000,4234,1051
04/09/2002,17:00:00,11954.00000,11976.00000,11868.00000,11886.00000,4407,1476
04/10/2002,17:00:00,11893.00000,12063.00000,11879.00000,12051.00000,6189,1805
04/11/2002,17:00:00,12042.00000,12042.00000,11822.00000,11834.00000,6372,2151
04/12/2002,17:00:00,11874.00000,11904.00000,11804.00000,11858.00000,5387,2444
04/15/2002,17:00:00,11860.00000,11894.00000,11732.00000,11757.00000,6740,2714
04/16/2002,17:00:00,11805.00000,12008.00000,11796.00000,11968.00000,4122,2810
04/17/2002,17:00:00,11973.00000,12002.00000,11849.00000,11892.00000,5340,3426
04/18/2002,17:00:00,11902.00000,11936.00000,11704.00000,11839.00000,4857,3322
04/19/2002,17:00:00,11804.00000,11938.00000,11804.00000,11916.00000,4241,3465
04/22/2002,17:00:00,11911.00000,11927.00000,11775.00000,11799.00000,3306,3863
04/23/2002,17:00:00,11812.00000,11841.00000,11729.00000,11759.00000,7043,4537
04/24/2002,17:00:00,11779.00000,11825.00000,11679.00000,11684.00000,6065,4554
04/25/2002,17:00:00,11679.00000,11709.00000,11583.00000,11706.00000,8117,5404
04/26/2002,17:00:00,11700.00000,11741.00000,11524.00000,11529.00000,4615,6014
04/29/2002,17:00:00,11571.00000,11597.00000,11470.00000,11482.00000,5401,5686
04/30/2002,17:00:00,11500.00000,11667.00000,11481.00000,11594.00000,6327,5513
05/01/2002,17:00:00,11627.00000,11745.00000,11484.00000,11734.00000,6247,6007
05/02/2002,17:00:00,11740.00000,11778.00000,11693.00000,11754.00000,4509,6296
05/03/2002,17:00:00,11738.00000,11772.00000,11584.00000,11650.00000,5546,6860
05/06/2002,17:00:00,11668.00000,11682.00000,11445.00000,11454.00000,5290,6294
05/07/2002,17:00:00,11464.00000,11584.00000,11454.00000,11464.00000,6603,6808
05/08/2002,17:00:00,11539.00000,11812.00000,11535.00000,11776.00000,8012,7043
05/09/2002,17:00:00,11791.00000,11798.00000,11672.00000,11697.00000,6699,7375
05/10/2002,17:00:00,11705.00000,11744.00000,11574.00000,11594.00000,5086,7812
05/13/2002,17:00:00,11602.00000,11775.00000,11579.00000,11769.00000,5584,7812
05/14/2002,17:00:00,11774.00000,11961.00000,11753.00000,11955.00000,7445,9003
05/15/2002,17:00:00,11957.00000,12013.00000,11884.00000,11939.00000,0,0
05/16/2002,17:00:00,11931.00000,11983.00000,11892.00000,11957.00000,6459,9442
05/17/2002,17:00:00,11997.00000,12028.00000,11920.00000,12001.00000,3860,9140
05/20/2002,17:00:00,11999.00000,11999.00000,11874.00000,11904.00000,5071,9568
05/21/2002,17:00:00,11896.00000,11949.00000,11751.00000,11787.00000,5373,9870
05/22/2002,17:00:00,11799.00000,11823.00000,11726.00000,11816.00000,6804,9842
05/23/2002,17:00:00,11791.00000,11892.00000,11750.00000,11884.00000,5867,9320
05/24/2002,17:00:00,11885.00000,11909.00000,11749.00000,11757.00000,4769,9225
05/28/2002,17:00:00,11789.00000,11807.00000,11629.00000,11667.00000,7196,9737
05/29/2002,17:00:00,11659.00000,11662.00000,11579.00000,11589.00000,6608,9990
05/30/2002,17:00:00,11604.00000,11631.00000,11465.00000,11585.00000,5173,10182
05/31/2002,17:00:00,11599.00000,11711.00000,11553.00000,11569.00000,5173,10043
06/03/2002,17:00:00,11563.00000,11654.00000,11342.00000,11347.00000,7626,10147
06/04/2002,17:00:00,11364.00000,11414.00000,11257.00000,11364.00000,10168,10952
06/05/2002,17:00:00,11399.00000,11476.00000,11352.00000,11469.00000,6210,10758
06/06/2002,17:00:00,11464.00000,11485.00000,11174.00000,11294.00000,6595,11227
06/07/2002,17:00:00,11210.00000,11305.00000,11132.00000,11254.00000,6285,11040
06/10/2002,17:00:00,11278.00000,11382.00000,11224.00000,11318.00000,7694,10482
06/11/2002,17:00:00,11306.00000,11428.00000,11169.00000,11189.00000,7581,10583
06/12/2002,17:00:00,11210.00000,11297.00000,11112.00000,11286.00000,8481,10363
06/13/2002,17:00:00,11324.00000,11324.00000,11154.00000,11179.00000,7828,1755
06/14/2002,17:00:00,11185.00000,11188.00000,10907.00000,11149.00000,7776,2959
06/17/2002,17:00:00,11159.00000,11364.00000,11149.00000,11349.00000,7199,2959
06/18/2002,17:00:00,11349.00000,11429.00000,11294.00000,11424.00000,6337,2300
06/19/2002,17:00:00,11389.00000,11405.00000,11201.00000,11229.00000,8008,2713
06/20/2002,17:00:00,11244.00000,11264.00000,11088.00000,11097.00000,8168,2786
06/21/2002,17:00:00,11089.00000,11149.00000,10874.00000,10936.00000,13579,3866
06/24/2002,17:00:00,10939.00000,11051.00000,10739.00000,10979.00000,13579,3866
06/25/2002,17:00:00,11007.00000,11074.00000,10769.00000,10774.00000,9588,3866
06/26/2002,17:00:00,10669.00000,10840.00000,10533.00000,10784.00000,8572,3663
06/27/2002,17:00:00,10809.00000,10947.00000,10694.00000,10935.00000,7884,4254
06/28/2002,17:00:00,10958.00000,11029.00000,10891.00000,10899.00000,3833,4480
07/01/2002,17:00:00,10894.00000,10993.00000,10757.00000,10765.00000,5200,4350
07/02/2002,17:00:00,10745.00000,10810.00000,10627.00000,10679.00000,5132,4467
07/03/2002,17:00:00,10694.00000,10739.00000,10562.00000,10716.00000,5684,4133
07/05/2002,17:00:00,10721.00000,11081.00000,10719.00000,11061.00000,2965,4477
07/08/2002,17:00:00,11062.00000,11062.00000,10906.00000,10947.00000,4999,4935
07/09/2002,17:00:00,10964.00000,10993.00000,10746.00000,10767.00000,5063,4998
07/10/2002,17:00:00,10765.00000,10841.00000,10444.00000,10464.00000,6867,5121
07/11/2002,17:00:00,10472.00000,10527.00000,10266.00000,10466.00000,8689,5499
07/12/2002,17:00:00,10499.00000,10548.00000,10259.00000,10317.00000,6930,5984
07/15/2002,17:00:00,10305.00000,10358.00000,9901.00000,10331.00000,11583,7131
07/16/2002,17:00:00,10331.00000,10333.00000,10064.00000,10142.00000,7363,7157
07/17/2002,17:00:00,10108.00000,10390.00000,10071.00000,10194.00000,9272,7469
07/18/2002,17:00:00,10189.00000,10299.00000,10010.00000,10034.00000,7452,6748
07/19/2002,17:00:00,10020.00000,10025.00000,9617.00000,9667.00000,8843,7078
07/22/2002,17:00:00,9589.00000,9782.00000,9367.00000,9454.00000,13743,7053
07/23/2002,17:00:00,9484.00000,9619.00000,9315.00000,9367.00000,10119,6580
07/24/2002,17:00:00,9354.00000,9899.00000,9129.00000,9874.00000,12974,6909
07/25/2002,17:00:00,9869.00000,9975.00000,9587.00000,9839.00000,11207,6706
07/26/2002,17:00:00,9839.00000,9945.00000,9746.00000,9936.00000,6928,6706
07/29/2002,17:00:00,9959.00000,10380.00000,9946.00000,10334.00000,8746,6659
07/30/2002,17:00:00,10314.00000,10426.00000,10199.00000,10363.00000,9778,6527
07/31/2002,17:00:00,10329.00000,10439.00000,10192.00000,10374.00000,10510,7860
08/01/2002,17:00:00,10356.00000,10375.00000,10121.00000,10147.00000,10082,8433
08/02/2002,17:00:00,10129.00000,10162.00000,9854.00000,9969.00000,9153,8899
08/05/2002,17:00:00,9964.00000,9971.00000,9680.00000,9706.00000,10592,8705
08/06/2002,17:00:00,9691.00000,10082.00000,9649.00000,9954.00000,10584,8445
08/07/2002,17:00:00,9994.00000,10129.00000,9874.00000,10109.00000,11966,8474
08/08/2002,17:00:00,10109.00000,10378.00000,10083.00000,10364.00000,11639,8423
08/09/2002,17:00:00,10344.00000,10460.00000,10231.00000,10394.00000,8097,8748
08/12/2002,17:00:00,10390.00000,10390.00000,10236.00000,10339.00000,6530,8727
08/13/2002,17:00:00,10344.00000,10407.00000,10123.00000,10149.00000,6899,8779
08/14/2002,17:00:00,10151.00000,10420.00000,10019.00000,10389.00000,10920,8156
08/15/2002,17:00:00,10389.00000,10527.00000,10351.00000,10476.00000,12381,8887
08/16/2002,17:00:00,10444.00000,10506.00000,10374.00000,10434.00000,6414,8527
08/19/2002,17:00:00,10499.00000,10666.00000,10369.00000,10636.00000,7477,9309
08/20/2002,17:00:00,10620.00000,10643.00000,10484.00000,10554.00000,6202,9439
08/21/2002,17:00:00,10553.00000,10654.00000,10468.00000,10644.00000,10128,9439
08/22/2002,17:00:00,10656.00000,10750.00000,10596.00000,10709.00000,7896,9704
08/23/2002,17:00:00,10744.00000,10744.00000,10492.00000,10537.00000,6746,9467
08/26/2002,17:00:00,10544.00000,10624.00000,10422.00000,10579.00000,8119,9736
08/27/2002,17:00:00,10569.00000,10693.00000,10448.00000,10504.00000,9385,10683
08/28/2002,17:00:00,10514.00000,10523.00000,10308.00000,10351.00000,6879,10730
08/29/2002,17:00:00,10359.00000,10413.00000,10226.00000,10322.00000,7858,10797
08/30/2002,17:00:00,10319.00000,10453.00000,10263.00000,10302.00000,6415,11254
09/03/2002,17:00:00,10237.00000,10249.00000,9958.00000,9967.00000,13957,11511
09/04/2002,17:00:00,9966.00000,10124.00000,9948.00000,10059.00000,10378,12276
09/05/2002,17:00:00,10047.00000,10055.00000,9878.00000,9982.00000,10561,12447
09/06/2002,17:00:00,9961.00000,10149.00000,9961.00000,10102.00000,9706,12420
09/09/2002,17:00:00,10097.00000,10228.00000,9982.00000,10161.00000,10758,13874
09/10/2002,17:00:00,10167.00000,10297.00000,10165.00000,10289.00000,12006,15044
09/11/2002,17:00:00,10299.00000,10429.00000,10209.00000,10221.00000,8989,15309
09/12/2002,17:00:00,10234.00000,10234.00000,10019.00000,10062.00000,8168,1510
09/13/2002,17:00:00,10046.00000,10058.00000,9915.00000,9994.00000,10758,3532
09/16/2002,17:00:00,10014.00000,10066.00000,9929.00000,10059.00000,10313,3366
09/17/2002,17:00:00,10174.00000,10264.00000,9774.00000,9862.00000,15021,5506
09/18/2002,17:00:00,9834.00000,9929.00000,9716.00000,9779.00000,19406,6406
09/19/2002,17:00:00,9774.00000,9788.00000,9588.00000,9597.00000,17480,7077
09/20/2002,17:00:00,9606.00000,9678.00000,9577.00000,9629.00000,11185,5884
09/23/2002,17:00:00,9599.00000,9654.00000,9444.00000,9549.00000,14919,6133
09/24/2002,17:00:00,9537.00000,9544.00000,9320.00000,9362.00000,15174,6906
09/25/2002,17:00:00,9324.00000,9563.00000,9288.00000,9531.00000,16823,7366
09/26/2002,17:00:00,9516.00000,9678.00000,9504.00000,9636.00000,13772,8035
09/27/2002,17:00:00,9627.00000,9644.00000,9340.00000,9347.00000,13189,8319
09/30/2002,17:00:00,9334.00000,9351.00000,9113.00000,9254.00000,19696,8319
10/01/2002,17:00:00,9247.00000,9669.00000,9214.00000,9656.00000,18422,8853
10/02/2002,17:00:00,9636.00000,9641.00000,9394.00000,9449.00000,19016,9769
10/03/2002,17:00:00,9419.00000,9587.00000,9351.00000,9392.00000,17830,9183
10/04/2002,17:00:00,9417.00000,9497.00000,9131.00000,9234.00000,18696,9741
10/07/2002,17:00:00,9205.00000,9305.00000,9072.00000,9127.00000,19524,9946
10/08/2002,17:00:00,9145.00000,9294.00000,8994.00000,9194.00000,27046,11054
10/09/2002,17:00:00,9196.00000,9209.00000,8937.00000,8964.00000,28684,14269
10/10/2002,17:00:00,8947.00000,9227.00000,8858.00000,9189.00000,26273,14269
10/11/2002,17:00:00,9170.00000,9569.00000,9145.00000,9546.00000,21781,12301
10/14/2002,17:00:00,9509.00000,9582.00000,9418.00000,9542.00000,16256,13420
10/15/2002,17:00:00,9556.00000,9944.00000,9547.00000,9936.00000,25833,14972
10/16/2002,17:00:00,9848.00000,9944.00000,9674.00000,9722.00000,22541,16399
10/17/2002,17:00:00,9837.00000,10044.00000,9824.00000,9939.00000,17626,17524
10/18/2002,17:00:00,10005.00000,10034.00000,9810.00000,9979.00000,16736,16853
10/21/2002,17:00:00,9969.00000,10223.00000,9894.00000,10199.00000,18177,17481
10/22/2002,17:00:00,10161.00000,10162.00000,10040.00000,10129.00000,18561,17235
10/23/2002,17:00:00,10108.00000,10206.00000,9960.00000,10176.00000,21982,16674
10/24/2002,17:00:00,10204.00000,10242.00000,9936.00000,9959.00000,19728,16674
10/25/2002,17:00:00,9951.00000,10126.00000,9921.00000,10124.00000,15899,16690
10/28/2002,17:00:00,10134.00000,10227.00000,9989.00000,10062.00000,17989,16085
10/29/2002,17:00:00,10058.00000,10067.00000,9847.00000,10030.00000,22063,16274
10/30/2002,17:00:00,10036.00000,10130.00000,9972.00000,10094.00000,20707,15537
10/31/2002,17:00:00,10074.00000,10169.00000,9999.00000,10034.00000,19724,15556
